                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1133,                 2.0788,                 2.6811,                 1.9735,                0.26854,                 0.4474,                0.32223,                0.18899,                0.00019,                0.00032,                 0.0001,                  2e-05,                 1.4047,                 1.2471,                 2.8299,                 1.5825,                  8e-05,                  8e-05,                  8e-05
                      1,                 1.9146,                 1.9917,                 2.4826,                 1.8356,                 0.2591,                0.54341,                0.31982,                0.20009,                0.00015,                0.00032,                  8e-05,                  1e-05,                 1.2316,                 1.1954,                 2.7629,                 1.5338,              0.0001206,              0.0001206,              0.0001206
                      2,                 1.7711,                  1.949,                 2.2465,                 1.7357,                0.25989,                0.59759,                0.36414,                0.24387,                0.00041,                0.00095,                0.00021,                  2e-05,                 1.1181,                 1.1842,                 2.6676,                 1.4852,               9.52e-05,               9.52e-05,               9.52e-05
