,Image,Number identified - ensembled,Number identifiable - ensembled,Percentage - ensembled,RMSE_cx - ensembled,RMSE_cy - ensembled,RMSE_c - ensembled,RMSE_sigmax - ensembled,RMSE_sigmay - ensembled,RMSE_sigma - ensembled,MaxE_sigmax - ensembled,MaxE_sigmay - ensembled,MaxE_sigma - ensembled,RMSE_amplitude - ensembled,RMSEPixel - ensembled
8,601,77,76,101.32,10.671887747751132,0.28276464031107956,10.675633186954814,10.408021973489943,4.034297694177048,11.16254806421418,41.764962687074664,75.94260799459869,86.6694399270817,108.36527978246212,6008307.314618394
17,603,80,77,103.9,11.301782123578812,0.26662418100156343,11.304926696920258,12.630272561381496,3.194120532503998,13.02790048131125,58.0592123026181,75.45470026192699,95.20653299442074,100.81573472301186,5570945.127223638
14,605,79,76,103.95,11.332872626452527,0.3652211484545993,11.338756036473997,12.156555066724275,4.872998828490822,13.096867895522676,54.515250278701174,77.8133021334097,95.00959163081762,105.82996617985579,5829592.777606433
16,614,78,77,101.3,11.36327230644936,0.3425132784738074,11.36843317508837,11.603176079350963,3.6370834323466945,12.159854893142155,49.501033360262554,75.20795213168576,90.03659460228248,105.26021099846112,5855334.977220813
9,622,80,76,105.26,12.31926293522867,0.2777542652887554,12.322393708171518,14.173175151124568,4.467432287266574,14.860580241220958,59.01506474887584,83.26894402659242,102.06123116354118,104.0394634946086,5884923.575460499
2,650,79,74,106.76,11.72005174941348,0.2714931490135389,11.723195875651454,13.60668332276855,3.8424438756399018,14.138819115596267,54.645122861468906,71.63507543974322,90.09813253227135,92.46377256526505,5025653.98984577
10,664,78,73,106.85,11.786129684113195,0.24855746198508896,11.78875030453367,12.943283414323274,4.250342743023127,13.623288845820795,64.99779937753885,75.02100433076681,99.26159889262172,102.60128283500177,5756627.290640761
12,690,75,75,100.0,12.242753291620692,0.25294976633157773,12.245366133512567,12.643323951704364,6.288696089660549,14.120953900351532,51.207477309045466,132.28531822948415,141.8506649664791,104.37914364882688,5504739.054275855
11,694,78,74,105.41,12.493357263494094,0.2452715260313043,12.495764635858917,12.527425181211308,3.83922525931555,13.102520072971219,54.97489452154936,79.39621923906013,96.57121029122696,99.29389993797108,5782610.188540268
13,700,81,77,105.19,11.481972312288018,0.3114858821489588,11.486196569575446,12.417577715370683,4.738295047318772,13.290886963356366,50.729237880778335,76.12419727693745,91.47868050547454,102.17316338468376,5607196.95330661
4,703,79,74,106.76,11.686201275051223,0.3160259063768078,11.690473583842108,12.88256329400296,3.8259631945492187,13.438691580285548,53.18228939669256,72.93096043120974,90.26228943967817,98.61236268909626,5468116.36016592
5,704,79,74,106.76,12.259012547607455,0.33915052548507,12.263703018311142,13.804488266620139,4.681421658525261,14.576680179250777,65.70818773781694,71.81496702966959,97.33938270433364,100.39939818095375,5545437.472553259
7,710,80,74,108.11,11.262024431069676,0.3231085113340232,11.26665848404516,13.354687402199414,4.214442869310251,14.003899610792121,52.22299866637381,72.9465295847715,89.71308582458873,101.78100585001755,6085571.558977155
19,714,79,76,103.95,13.2180364659345,1.278009336589358,13.27967604571677,11.364913822671824,5.271128874045148,12.527811692532321,48.429863740935645,74.53905909613196,88.8905114897099,96.64906770447783,5393484.783106774
15,719,81,76,106.58,11.445589232841854,0.3272002127466542,11.45026518759137,12.5361537359555,3.725107447183953,13.077904112837667,55.37108744136323,70.6335784735483,89.74998458171454,99.06319436965289,5500501.308096972
6,726,79,76,103.95,11.607832744711445,0.3384096791966921,11.612764620888914,12.108866138752218,4.699802412079526,12.988948451618729,55.59087671158722,76.04418966529529,94.19694451209281,101.8427945978337,5531371.377432125
0,738,78,77,101.3,12.008292147483576,0.31804223144538174,12.0125031180141,12.248228160631026,3.7745341794245166,12.816637677117926,53.57427146090866,68.59666973324308,87.03852975009836,102.55178446223827,5620020.5743454
18,766,79,74,106.76,11.74046305063693,0.27136548305422525,11.743598761400369,13.320269869291804,3.606505129919856,13.799872051685892,62.56409447782838,76.98927832070093,99.20491365942004,98.76642475292616,5481781.440008909
3,772,77,73,105.48,10.87491502307377,0.27054655592350335,10.878279836352696,12.160133643505148,3.501767392228511,12.654296704960757,59.90165578870985,77.21804986532487,97.72837659161681,97.37797366795013,5347910.741245754
1,777,81,77,105.19,11.402681568720615,0.28488308828144093,11.406239754258614,12.361593056814337,4.045059940376104,13.006594205383513,61.143726231846266,71.98689738898008,94.44929143835073,100.1509810163731,5647561.219393488
