,Image,Number identified - YOLO,Number identifiable - YOLO,Percentage - YOLO,RMSE_cx - YOLO,RMSE_cy - YOLO,RMSE_c - YOLO,RMSE_sigmax - YOLO,RMSE_sigmay - YOLO,RMSE_sigma - YOLO,MaxE_sigmax - YOLO,MaxE_sigmay - YOLO,MaxE_sigma - YOLO,RMSE_amplitude - YOLO,RMSEPixel - YOLO
2,6,76,79,96.2,1.014834967856904,0.07012021172308235,1.0172545679805096,1.669146240874643,1.9141534049484106,2.5396914046989147,6.72942454373059,29.33402682411671,30.096017749990814,22.50419082467583,541902.7737431499
10,37,77,78,98.72,0.9871410895612607,0.09034042262799026,0.991266322771432,1.6087083748510072,3.5075964492632012,3.858908587437591,10.463316734667211,79.71955514381006,80.40328643418091,22.119052225386007,478028.24587561464
12,39,78,80,97.5,1.0260584158815689,0.07040026164005486,1.0284707432107063,1.4752202296702706,1.6195618608811844,2.1907202804669814,8.701029152605482,20.666323414149588,22.423310009289843,20.028270802637866,458362.5681988034
3,60,76,79,96.2,1.041429659280491,0.10813022034820169,1.0470281179517722,1.8759940795661183,2.2854435582228207,2.9567898208004766,7.578659026161599,46.49328910187318,47.10692097924869,25.954888205345206,568430.6260495365
16,62,75,78,96.15,1.1634194027114004,0.08430473390458708,1.1664698859225107,1.5419304812009902,2.3148563256001977,2.7813862401737675,9.395028014834494,71.77935929169146,72.39159462068272,25.492054976833035,501197.8643740948
7,65,77,80,96.25,1.165814986980915,0.07373804620178645,1.1681446328802643,2.244354557150834,2.2164984751711407,3.1543609287206986,15.351374771881598,32.57304566449416,36.009276738751424,26.49677549926673,588453.7307031145
1,74,77,80,96.25,1.0530916182378853,0.09209498729374818,1.057110894413412,1.814585880293115,1.87756492817552,2.611124657398395,12.352093812834761,27.377245775013314,30.034776639531632,26.558221374521274,619414.4611763465
6,88,77,79,97.47,1.0542518473809344,0.09909314249908875,1.0588986772097024,1.521606483908247,2.2255888536893953,2.6960215202290385,8.76305673778849,31.360467775837712,32.561788994295995,19.670897739769984,428872.9082584589
17,93,77,78,98.72,1.1282464463217632,0.06660920052865175,1.1302109666928353,1.8440836000622307,1.5779604946318675,2.4270565808479465,9.218138691447276,12.53924328854176,15.562991459998841,23.504671041262803,607453.6823276286
15,98,74,79,93.67,1.042333003363303,0.10370522917697925,1.04747929070651,1.9039036886197933,2.1583191775498367,2.87805332259836,11.10259275285214,37.779737858803315,39.37735591067005,23.770919329982533,459777.7834889783
14,110,76,79,96.2,3.605294568804776,0.3124645680617154,3.618809615626002,1.611040589002763,1.9590903013877452,2.536431861573635,6.666059262189818,13.952571915744919,15.463201775539906,26.334065092729773,634424.9383860115
11,116,78,80,97.5,1.112220851531223,0.09513719973474594,1.1162823609437749,2.1450930503996863,2.158038554911791,3.0427873076110337,14.806439494979543,23.904221474563307,28.11836508091222,23.42475581296755,556064.6241086667
