,Image,Number identified - YOLO_px_infer,Number identifiable - YOLO_px_infer,Percentage - YOLO_px_infer,RMSE_cx - YOLO_px_infer,RMSE_cy - YOLO_px_infer,RMSE_c - YOLO_px_infer,RMSE_sigmax - YOLO_px_infer,RMSE_sigmay - YOLO_px_infer,RMSE_sigma - YOLO_px_infer,MaxE_sigmax - YOLO_px_infer,MaxE_sigmay - YOLO_px_infer,MaxE_sigma - YOLO_px_infer,RMSE_amplitude - YOLO_px_infer,RMSEPixel - YOLO_px_infer
3,401,85,79,107.59,12.063135899547243,0.6525456605557878,12.080772474062064,52.344249351309614,138.4738710190718,148.03693253765633,190.8841713765797,798.5650938686438,821.0621024183001,99.66816099783081,27939598.6294149
14,414,83,79,105.06,13.281041744858907,0.7249181796613361,13.300811110450688,68.64345675974445,115.04457728818961,133.96708147655207,1113.5665340479302,535.8914459029038,1235.8034097474504,105.09192372911009,24802990.66553294
19,423,85,79,107.59,12.631631749122304,0.6950568581285651,12.650740084337603,52.53142800752559,117.70692369567351,128.8971326849785,301.59719614971914,454.35832519582175,545.346088644747,99.52727046248756,22708432.87655083
13,435,83,79,105.06,12.968398541299504,0.7385381501274266,12.989411046124173,57.99099145682741,150.03094105994612,160.84849506749777,412.00302709625197,3258.107898807087,3284.054441480166,100.17806668330623,25401919.731751036
6,451,82,79,103.8,12.765317970211813,0.6870759100136803,12.783795061981156,70.83964194758306,159.2909792243289,174.33264448607252,1284.478178383884,2083.243697581066,2447.40444027047,101.56933860173763,25427120.281377733
18,454,83,79,105.06,13.016215142371754,0.7478969902608601,13.037684094215084,59.24763673813086,118.17515964983909,132.19550225827834,419.4272608028292,572.7457266660894,709.89921433879,100.85237754969381,23856400.705619223
11,461,83,79,105.06,12.63078558310716,0.7189668997950044,12.65123147560855,94.480570281689,157.3324999705683,183.521371256162,3237.4092461900746,614.5381534716913,3295.220139746263,101.79273172545744,28825949.064729333
15,467,84,79,106.33,12.131832627720533,0.6610494555805133,12.149829187677817,75.18515927748068,116.5314836005918,138.68091017056074,1697.5036882125557,751.1642466617053,1856.2775915681568,101.41576206442615,25200843.729444366
12,473,83,79,105.06,13.015422416688654,0.6934505558148135,13.033882551189473,56.621894160496126,120.5890337187637,133.2206964084318,426.4906725512145,512.8434514229152,667.0102693666382,102.48494346466421,24939444.746445954
16,491,84,79,106.33,12.823289515828545,0.6382972403463123,12.839165758482597,65.53229053414145,117.28878959039987,134.35453571142367,443.92760035096177,428.46225279075077,616.9697046208091,100.104686442417,24157204.085944325
9,492,89,79,112.66,12.68050415732625,0.6801769409571059,12.6987332578875,55.781064061956734,127.3710474833378,139.0500300067814,353.8223598387923,591.6924084820718,689.4129158764047,96.49820738322774,24802014.063382868
10,501,82,79,103.8,12.842159247674068,0.7614592698330085,12.864714313277043,45.853504169250535,144.6980601036338,151.78956631585154,165.77448423938674,677.4252459238653,697.4138967928902,101.78199727717936,26317931.62245593
17,502,88,79,111.39,12.42125460518599,0.7030573939987955,12.441135626063664,84.14043595049753,128.1872423417236,153.3348690321792,2388.023192751672,784.2349848647979,2513.4994093108076,99.599510931921,25730106.617116343
4,513,82,79,103.8,13.104886973346114,0.7248711917927644,13.124919078945505,53.800814534068806,157.99543984817248,166.90442372012419,448.4348025656895,1623.5109677036967,1684.3044957507898,102.58874729727401,26395002.991699174
8,518,84,79,106.33,12.334661558842988,0.7971868157532409,12.360395729522972,55.95344867433717,137.22343907553426,148.1926470857058,363.20986557746073,1369.582347120062,1416.9252669056668,100.15841734214841,25063017.785122067
0,533,88,79,111.39,12.347068247609819,0.6684831150145907,12.365151191400543,61.638139271617476,153.91737239674336,165.80053600150117,404.72307545819433,861.3253218384583,951.673304158766,95.53898038655589,27254272.1412992
5,566,82,79,103.8,12.572918003877703,0.689075208968259,12.591786679254328,53.61494929596826,113.0490523760728,125.11854791012121,269.130543542223,653.6894985129953,706.9237652912113,103.44083955503494,22349676.384574633
1,578,85,79,107.59,12.984504239591438,0.7652322789775411,13.007033896655962,55.10730297875088,114.66737572446017,127.22193952745086,368.40599747515694,751.9184407535557,837.3197241919743,98.15185214912748,23375785.882766373
2,591,81,79,102.53,12.506659213020441,0.6388846059687205,12.5229668294048,57.74512689496489,133.58738674178937,145.53380905004857,752.8332907915095,724.8296971683692,1045.053134353064,101.93017750958853,26445980.59493317
7,598,83,79,105.06,12.283227728482835,0.7208170663282485,12.304359417412986,54.46365931942869,123.13268250869429,134.6400671726277,609.5703808404381,445.28441062399133,754.8869157315631,101.26179242658604,22970482.94970604
