,Image,Number identified - gmm,Number identifiable - gmm,Percentage - gmm,RMSE_cx - gmm,RMSE_cy - gmm,RMSE_c - gmm,RMSE_sigmax - gmm,RMSE_sigmay - gmm,RMSE_sigma - gmm,RMSE_amplitude - gmm,MaxE_sigmax - gmm,MaxE_sigmay - gmm,MaxE_sigma - gmm,RMSEPixel - gmm
3,401,43,79,54.43,13.713989871273313,2.4691416420910617,13.934495995122866,38.93614323231514,46.66369575738067,60.77436755363849,86.21693064029681,75.28507658127046,180.1545420490848,195.25240530340008,1061291.4268712199
14,414,44,79,55.7,11.187938609344315,2.545902197837785,11.473952602630554,41.41607404002382,43.061546544578064,59.74602898686739,86.421333816904,80.19212548251879,296.85430570766135,307.49513135427316,1091521.778982586
19,423,46,79,58.23,9.954569334038297,2.1402217944122874,10.182043014810585,34.84354874794735,40.70663169639275,53.58267213770092,88.46439085801954,71.12200894308349,73.08896298606976,101.98204090171525,1163626.021045789
13,435,41,79,51.9,13.00266702889752,2.211030650223006,13.189314098944047,37.56431052744928,43.11956650565351,57.18718773499981,88.58646468599584,71.44610509066702,80.3281046229013,107.50418747627653,1198985.0769239946
6,451,41,79,51.9,13.977326915712238,2.9284496160899716,14.2808082706362,37.883346883022064,49.55798121853811,62.379014688566166,90.30695063722742,73.61185142961168,230.3341645620065,241.81094275357498,1169925.0368915643
18,454,37,79,46.84,12.171639443298147,2.5248766423018076,12.430760588012806,34.68504958250152,40.391351049434654,53.24015311904404,88.53041289255839,67.16911913931631,150.07856396523906,164.4240430345271,1113006.3691815478
11,461,43,79,54.43,11.923021167904126,2.3149519788257282,12.145675626928254,34.054617745632605,47.6191303050179,58.543134190162974,93.55473989348667,74.51859451344738,79.18534102785178,108.7351790450394,1207118.0363361763
15,467,42,79,53.16,11.465602836753286,2.7489736245962484,11.7905430069565,33.68336540207535,38.65378514948011,51.27069544283455,87.88496852888453,66.18504279371089,76.31366405632743,101.01601462791602,1144092.899158208
12,473,42,79,53.16,15.069778429107492,3.0753238693281553,15.380371868184884,36.51355529093288,41.665576070823676,55.40090206212898,92.56595561886515,70.69139088490508,93.3408665233991,117.08881290960912,1203637.4128159184
16,491,43,79,54.43,12.779488511862052,1.598151638112713,12.879030059877044,34.58207222153453,55.55411208886617,65.43836099045984,89.38655928598796,74.09099084147871,359.01731176383566,366.58273973279654,1113731.357726497
9,492,48,79,60.76,10.961638193341106,2.5081113552968817,11.244915937982089,37.481673893304944,48.01769162719003,60.91448585556619,93.75078174009458,75.35280818691052,97.35851374395472,123.11265532058492,1167786.1439945698
10,501,47,79,59.49,9.31151854395715,2.475789803500473,9.635035689896265,36.69180273938129,42.485571018731726,56.13654899486933,90.42153545474379,71.15716909557757,77.24739106148479,105.02619739618578,1156134.734957936
17,502,37,79,46.84,11.312067347032901,2.1577197251752405,11.516015894232618,33.76293127725851,48.435423212473175,59.04172888901769,92.0568183900654,74.12669351555371,124.08975483769116,144.5442283428402,1137849.5176216648
4,513,46,79,58.23,10.719587867197715,3.117217653997193,11.163628887819776,37.50739727641215,44.35707221348104,58.089196119438434,92.24846461695606,69.71453278813922,102.19270415852866,123.70717386271946,1066499.2632979678
8,518,41,79,51.9,11.064374809739666,2.7099756270426654,11.391415971228817,32.39860787445228,39.71248873689515,51.25184439491466,93.73330179229903,66.30309561647255,73.5184364531378,99.00030801387014,1194082.131264808
0,533,51,79,64.56,8.820262185265307,1.9487853546221443,9.03298341497486,37.479962435295086,44.174946192476725,57.93249049764169,84.40194580357813,72.34666701908546,70.37462492099137,100.92882671239494,1090988.138739098
5,566,41,79,51.9,11.942592568728159,2.2911656698048968,12.160384754979324,36.57468255236593,42.00838319240154,55.69929678412453,87.52102600180761,71.47315205121652,113.29281054541566,133.9539935403785,1135781.081115658
1,578,44,79,55.7,11.96127710119752,2.6255916645091735,12.2460557519706,34.40080667795639,41.35368704606241,53.79166229442811,87.48008723650605,83.33139448976928,76.19785971084949,112.91693908410664,1144393.2379820654
2,591,42,79,53.16,10.588126448327161,2.39283091088554,10.855139863394413,40.445780641373666,40.077241848908876,56.93897159157381,86.58876823805312,73.01082782535062,98.43731300607207,122.55809060032878,1109009.7644022948
7,598,44,79,55.7,11.360578314167494,2.417860331297706,11.615024245088591,33.54507447422421,43.72964692768445,55.1140094885247,94.40921728109933,69.66413576492829,76.64181400036571,103.57151860014902,1093956.9229196308
