,Image,Number identified - YOLO_px,Number identifiable - YOLO_px,Percentage - YOLO_px,RMSE_cx - YOLO_px,RMSE_cy - YOLO_px,RMSE_c - YOLO_px,RMSE_sigmax - YOLO_px,RMSE_sigmay - YOLO_px,RMSE_sigma - YOLO_px,MaxE_sigmax - YOLO_px,MaxE_sigmay - YOLO_px,MaxE_sigma - YOLO_px,RMSE_amplitude - YOLO_px,RMSEPixel - YOLO_px
8,601,77,76,101.32,12.433934800998193,0.6611194681679258,12.451498447442566,44.71081220676488,105.85449710423897,114.9096657613272,314.9338614564056,1017.8177187450622,1065.4277289817667,111.10776083405626,17272752.382400054
17,603,80,77,103.9,13.037557611576892,0.6299339371762555,13.052766957254425,40.38594718592595,98.84672741250228,106.778744374833,219.16561525405194,1064.8300064565644,1087.1506379338487,104.07161355341485,16205058.65796119
14,605,79,76,103.95,13.042501862800032,0.6836723041853487,13.060408211868893,72.97404186562036,107.27070626081903,129.73902731214008,1734.3188311763734,931.1420321515643,1968.4733404880867,108.41445305137611,17454760.61607163
16,614,78,77,101.3,13.078920931826962,0.6139358876883191,13.093322344430886,58.01895738861283,137.5896785796796,149.3221988457216,1261.1474509557886,2296.1832540545665,2619.7233497552565,108.05735101580159,20876384.951840065
9,622,80,76,105.26,13.936839009922705,0.6810639606818726,13.953470167203676,39.50280364549982,91.78192131273238,99.92193240581125,426.4827956375618,373.9719432039455,567.2235796214446,106.9549535022845,14611693.083150947
2,650,79,74,106.76,13.315452088894103,0.6376014822903731,13.33070890770079,54.30385662882463,101.7991071241441,115.37749804895627,572.0734951131936,927.2569565578868,1089.529048394773,95.15053673558762,16544404.331554875
10,664,78,73,106.85,13.588591241478925,0.6206054531701785,13.602755715534345,39.80427495382803,99.71262744192771,107.36381315868312,396.5192496623419,1171.8899132680529,1237.1554001709692,105.58035707025617,15566988.754805546
12,690,75,75,100.0,14.003762452219215,0.7064163910379964,14.021568633206195,46.96783867518965,122.33354894421741,131.03997507289859,282.34011320109454,2915.639006922619,2929.2775147143575,107.45994955620985,17063955.99105465
11,694,78,74,105.41,14.302040885485527,0.6862402887217807,14.318495005550151,40.475879571528935,81.97854602326343,91.42635744235486,284.58987613584543,445.7850202368772,528.8815385949947,102.50526735805772,13141091.778995212
13,700,81,77,105.19,13.06658778185793,0.6391398580466384,13.082209905789725,51.0376639626376,73.81359325788692,89.74012309108946,434.5067077743001,369.3971222451283,570.3072093388292,104.94593073362661,14402606.549241371
4,703,79,74,106.76,12.852405282292237,0.5877359593983628,12.865836743028543,43.642390424393405,138.30310586817694,145.02554028425251,372.5215767417047,2511.802669907231,2539.276467360579,101.61093541848871,16259725.759082735
5,704,79,74,106.76,13.982460456586443,0.6130214946646851,13.99589210350396,46.148345351834735,204.01838788792426,209.17258992301007,528.8502359666245,8393.85981088459,8410.503260617967,103.26581514938525,16416079.269882621
7,710,80,74,108.11,12.972779660109108,0.6039359929490504,12.986829897758726,36.708176287224504,97.62218733533935,104.2956454818227,330.2767011258833,846.5106136426476,908.6599574737779,105.02470660962615,13959620.8346414
19,714,79,76,103.95,15.01709841519084,1.7133084022508016,15.114518533276224,44.32208821042944,117.68257667449329,125.75228171322014,495.17708167570885,880.2949589809556,1010.0096816487226,99.80942784492103,17093167.992800005
15,719,81,76,106.58,13.007991719542602,0.6034459702605929,13.02198124767167,42.038470579310264,102.29525875276806,110.59635153088598,288.73162146282993,1015.37615876376,1055.6299981614786,101.93420915814919,17364484.817998156
6,726,79,76,103.95,13.19077277836946,0.741594846247082,13.211602832607142,41.62875487546341,75.4193260046982,86.14538854450866,286.3216995264307,703.0994657473832,759.1633383890185,104.84626515513622,12569927.65418076
0,738,78,77,101.3,13.693775518712933,0.6631111458895291,13.709821455755892,44.88895788580665,114.74315395342865,123.21124104258487,353.8012697283479,1382.7103879319072,1427.2572842190004,105.53682602187646,16990998.133752473
18,766,79,74,106.76,13.295869531770373,0.5932915134732284,13.309099947998703,42.28815197828201,66.25836923062359,78.60317608621119,381.06483549989065,400.99031601878653,553.1759597048709,102.19603968374696,12479780.47048409
3,772,77,73,105.48,12.248205688310131,0.7396184591096518,12.270516617005512,39.78837485249914,94.6594521455432,102.68167632979785,306.764881632061,1163.5074846979217,1203.2681993432789,100.52616759268179,13337614.204124462
1,777,81,77,105.19,12.85364160231576,0.6120113858681692,12.86820346346819,51.019415551585745,99.04130608401746,111.40987870944579,440.7020031763436,1676.4563471295685,1733.414012702868,103.20506418138922,17507787.07123721
