,Image,Number identified - gmm,Number identifiable - gmm,Percentage - gmm,RMSE_cx - gmm,RMSE_cy - gmm,RMSE_c - gmm,RMSE_sigmax - gmm,RMSE_sigmay - gmm,RMSE_sigma - gmm,RMSE_amplitude - gmm,MaxE_sigmax - gmm,MaxE_sigmay - gmm,MaxE_sigma - gmm,RMSEPixel - gmm
8,601,43,76,56.58,15.863668522043437,1.7731451361678277,15.9624566609024,39.462571019464775,41.10766662905766,56.98363595938787,99.5395680733377,79.10561624813108,63.79328451752332,101.6232339159223,1222877.5790385595
17,603,46,77,59.74,16.71746214289456,3.060826960459521,16.995358253975958,44.625689759755815,41.31624895810331,60.815167635236755,92.18776202159246,87.48270151029101,141.29686431810592,166.18672308481177,1162753.3532475624
14,605,41,76,53.95,14.888283297016953,2.1590086086053373,15.044012021540862,38.804970002556175,38.26954572161716,54.50122775349406,93.94964637857223,83.51763261148632,74.7790078641138,112.1030551509119,1219028.9113007928
16,614,40,77,51.95,11.159497393301276,2.770623003838526,11.498292651541671,43.641964437052465,38.307519168707216,58.06967439882734,100.65192389023285,77.04959445655824,162.83151268270944,180.14089354852067,1217517.565673844
9,622,39,76,51.32,9.47254841340267,1.8912857477752347,9.659510092338802,42.48966810791259,39.71678471583024,58.16179918197314,91.77440157432272,82.1011982224763,65.70370053093612,105.15504273702369,1139913.2966921467
2,650,48,74,64.86,10.607325079143344,2.0493199889680036,10.803474337073569,41.92561003068372,41.449248352044506,58.9558899974755,85.53740951023227,87.03514557995065,106.55943016303253,137.5864409118624,1181935.2107999383
10,664,46,73,63.01,11.89324731271702,2.074730766062307,12.072855478017457,42.46191676144727,46.108970278674256,62.682146702356505,89.5165682949797,87.17550908922192,68.74393234779141,111.01935695905799,1212055.6762270557
12,690,45,75,60.0,12.918632749729413,2.4140300796993657,13.142245369345174,46.717535355865756,38.4145787891292,60.48312139161455,89.42542712393244,93.18693270374261,74.51444981648822,119.31558011502855,1174864.17327295
11,694,43,74,58.11,17.01177305639085,2.3767032294297006,17.17699452066418,40.10568493952134,43.22044643977508,58.961622729718144,91.58156881452972,85.82884338330436,70.06118969969745,110.79332407077956,1168627.0319675794
13,700,40,77,51.95,13.076795497594532,2.2185767590184136,13.263659499608895,42.340743979915125,39.98513283209034,58.237010984189666,97.52965698062272,77.27982897288817,72.79025113306756,106.16304736627471,1213764.7425793412
4,703,44,74,59.46,14.38603275940545,2.2626127989458418,14.562875925882235,39.66785231036679,41.22616896326564,57.211323304961226,95.01113238668786,86.22850415335223,68.0705251853105,109.85877901892353,1222442.988415209
5,704,43,74,58.11,9.242198375052924,2.5029739686191688,9.575129737576201,40.866501467353025,42.80425402739768,59.18002285419597,92.15841231192226,85.405027662889,91.68447463549929,125.29988682870527,1239410.2497343335
7,710,39,74,52.7,13.47429821537319,2.1599413826282907,13.646320352871662,40.95710501963836,36.7033613193369,54.99655610788263,93.88079245193128,86.60185419079642,74.6072117562804,114.30711786818189,1144388.379793139
19,714,43,76,56.58,14.483813823230868,2.5757089924805956,14.711055015870173,42.99492302597325,42.958700789828605,60.778395664573,86.43608645931404,94.37949108450849,174.9522631879976,198.78577094946507,1171764.3090916448
15,719,42,76,55.26,11.599202302786967,2.66744700308692,11.901964861956865,44.52198886231576,44.24201574304106,62.76594179380774,87.51502439336485,85.90517090021746,112.97759298810763,141.92827380329146,1255833.1493639448
6,726,42,76,55.26,12.23327563375766,2.040374954502213,12.40226441769602,39.67153859961353,47.12101765193812,61.597250583243486,91.07151585175401,90.58463350830135,87.54896545234442,125.97776462379808,1190587.5657256271
0,738,47,77,61.04,14.050921068613093,2.3333529499148695,14.243346477049265,40.06463752285587,38.85884021617844,55.813839169011814,89.88921098305607,82.87439170672657,73.89509533508665,111.03445373099962,1252200.0682625729
18,766,43,74,58.11,12.048229005914248,2.6993298050445587,12.346910689535068,41.54313799871333,39.640064957400654,57.42096363356403,90.94851695317202,86.11600595508268,98.51573481247475,130.84844854753794,1185564.7127216375
3,772,43,73,58.9,16.17605312043578,2.067403600968224,16.30763171660608,40.85222856848881,45.258974352765726,60.969495146969685,84.66370986788496,87.45634085940019,178.08414054533236,198.40003193115993,1237367.0979674866
1,777,45,77,58.44,14.589556731916828,1.8291385984214907,14.703772089027188,39.521727625962875,48.501248008550746,62.564670645083275,94.1603456364304,87.57272785030416,105.03891138326114,136.75582462083298,1181863.0636518977
