,Image,Number identified - YOLO,Number identifiable - YOLO,Percentage - YOLO,RMSE_cx - YOLO,RMSE_cy - YOLO,RMSE_c - YOLO,RMSE_sigmax - YOLO,RMSE_sigmay - YOLO,RMSE_sigma - YOLO,MaxE_sigmax - YOLO,MaxE_sigmay - YOLO,MaxE_sigma - YOLO,RMSE_amplitude - YOLO,RMSEPixel - YOLO
8,601,77,76,101.32,10.671887747751132,0.28276464031107956,10.675633186954814,10.408021973489943,4.034297694177048,11.16254806421418,41.764962687074664,75.94260799459869,86.6694399270817,108.36527978246212,6008307.314618394
17,603,80,77,103.9,11.301782123578812,0.26662418100156343,11.304926696920258,12.630272561381496,3.194120532503998,13.02790048131125,58.0592123026181,75.45470026192699,95.20653299442074,100.81573472301186,5570945.127223638
14,605,79,76,103.95,11.35305338816061,0.40745671072274703,11.36036276733882,11.643280982172556,3.902645989638742,12.279928246950975,54.515250278701174,77.8133021334097,95.00959163081762,105.47594622076505,5869703.878183806
16,614,78,77,101.3,11.36327230644936,0.3425132784738074,11.36843317508837,11.603176079350963,3.6370834323466945,12.159854893142155,49.501033360262554,75.20795213168576,90.03659460228248,105.26021099846112,5855334.977220813
9,622,80,76,105.26,12.328913514764631,0.2756639692467289,12.331994935065731,13.452156194164926,3.4354815398256413,13.883912981673882,52.47662829301384,72.87979332008797,89.80679702217354,104.00597479799842,5917142.379081244
2,650,79,74,106.76,11.72005174941348,0.2714931490135389,11.723195875651454,13.60668332276855,3.8424438756399018,14.138819115596267,54.645122861468906,71.63507543974322,90.09813253227135,92.46377256526505,5025653.98984577
10,664,78,73,106.85,11.803870402029467,0.24931499530479864,11.806503056993257,12.816594990301567,3.710435004012621,13.342879564187985,55.11610230384567,75.02100433076681,93.09100828740075,102.70761403904535,5759457.832703554
12,690,75,75,100.0,12.231568871286951,0.2962605729907672,12.235156205792583,11.68778342504655,4.00757090355722,12.355764077459204,46.33489364834609,73.26828671574624,86.69004676238409,104.18221478708911,5500650.61885627
11,694,78,74,105.41,12.493357263494094,0.2452715260313043,12.495764635858917,12.527425181211308,3.83922525931555,13.102520072971219,54.97489452154936,79.39621923906013,96.57121029122696,99.29389993797108,5782610.188540268
13,700,81,77,105.19,11.495621647449816,0.31129113493353927,11.499835617607976,12.538455313668,4.220638518516251,13.229763836018856,50.729237880778335,76.12419727693745,91.47868050547454,102.1688064167685,5615122.309761303
4,703,79,74,106.76,11.670233355261791,0.3338423056552515,11.67500737692744,12.580471266121082,3.580130817353095,13.079969187542435,53.18228939669256,72.93096043120974,90.26228943967817,98.5795379949679,5401818.93625976
5,704,79,74,106.76,12.295365319299497,0.3406830703483535,12.300084279770395,13.386288238452368,4.041603468940764,13.98310664348528,59.574657334132155,71.81496702966959,93.30878461298163,100.34389418591762,5554035.78611602
7,710,80,74,108.11,11.254827980092124,0.3063360089279145,11.258996163594267,12.80761747362675,4.012122471277922,13.421333468597021,52.22299866637381,72.9465295847715,89.71308582458873,101.69915804576874,5957369.836982243
19,714,79,76,103.95,13.2180364659345,1.278009336589358,13.27967604571677,11.364913822671824,5.271128874045148,12.527811692532321,48.429863740935645,74.53905909613196,88.8905114897099,96.64906770447783,5393484.783106774
15,719,81,76,106.58,11.445589232841854,0.3272002127466542,11.45026518759137,12.5361537359555,3.725107447183953,13.077904112837667,55.37108744136323,70.6335784735483,89.74998458171454,99.06319436965289,5500501.308096972
6,726,79,76,103.95,11.476783296210646,0.28083403039565213,11.480218751435357,12.278481237723732,3.5667775419231504,12.786047221041422,55.59087671158722,76.04418966529529,94.19694451209281,101.37132370622632,5545686.805873616
0,738,78,77,101.3,12.008292147483576,0.31804223144538174,12.0125031180141,12.248228160631026,3.7745341794245166,12.816637677117926,53.57427146090866,68.59666973324308,87.03852975009836,102.55178446223827,5620020.5743454
18,766,79,74,106.76,11.74046305063693,0.27136548305422525,11.743598761400369,13.320269869291804,3.606505129919856,13.799872051685892,62.56409447782838,76.98927832070093,99.20491365942004,98.76642475292616,5481781.440008909
3,772,77,73,105.48,10.87491502307377,0.27054655592350335,10.878279836352696,12.160133643505148,3.501767392228511,12.654296704960757,59.90165578870985,77.21804986532487,97.72837659161681,97.37797366795013,5347910.741245754
1,777,81,77,105.19,11.402681568720615,0.28488308828144093,11.406239754258614,12.361593056814337,4.045059940376104,13.006594205383513,61.143726231846266,71.98689738898008,94.44929143835073,100.1509810163731,5647561.219393488
