,Image,Number identified - YOLO_px,Number identifiable - YOLO_px,Percentage - YOLO_px,RMSE_cx - YOLO_px,RMSE_cy - YOLO_px,RMSE_c - YOLO_px,RMSE_sigmax - YOLO_px,RMSE_sigmay - YOLO_px,RMSE_sigma - YOLO_px,MaxE_sigmax - YOLO_px,MaxE_sigmay - YOLO_px,MaxE_sigma - YOLO_px,RMSE_amplitude - YOLO_px,RMSEPixel - YOLO_px
2,6,76,79,96.2,0.5371796295123189,0.3292154706698532,0.6300355390701109,6.746455897654656,44.76807812366624,45.27356277194985,26.682404914014086,802.0277944931477,802.4715159253556,24.861693359697433,1284286.67264714
10,37,77,78,98.72,0.551572986806683,0.3212720780720112,0.6383169337590486,6.9793373458233585,18.25561175717752,19.544270526566162,25.181083487105816,196.70402263118953,198.3092521413868,23.62752010015504,849854.1502857642
12,39,78,80,97.5,0.4852387646561056,0.35989690000540175,0.6041377635593405,6.59978575019612,23.779800033015533,24.678655991741067,41.33461911991399,295.08556283612666,297.9665084067369,22.89696352172005,975941.0295845183
3,60,76,79,96.2,0.5716266433985335,0.3891036761608455,0.6914901953353774,6.863400227035825,25.67511372552434,26.57663875464849,56.57137790454437,224.0132433931435,231.04599977825742,29.771147157520485,1053832.5324387678
16,62,75,78,96.15,0.563230259417582,0.39715154589972856,0.6891717315257069,14.783605179838855,24.37761563283649,28.51005307002553,432.96987291596656,176.8204797976535,467.68407384551875,28.615402009098702,1141764.977635817
7,65,77,80,96.25,0.5256671184588012,0.32681776617190056,0.6189796214047523,8.06742891703415,30.599576939648564,31.645181595574247,78.88148381915512,645.6579848093161,650.4587011006454,29.365784294741697,1158100.1259979575
1,74,77,80,96.25,0.5196148564742837,0.38308219867460186,0.6455629868650755,7.356237529884313,39.54900109239867,40.227325513916895,26.999766268995234,1039.72679152996,1040.0772992445154,28.209074765646587,1182979.9289950628
6,88,77,79,97.47,0.5363093947872233,0.3672975926350898,0.6500271444275002,7.436766600915074,31.42771061762386,32.29561103527217,39.664924980975044,211.7775143832874,215.4600238376249,23.40428772919948,1060746.009375975
17,93,77,78,98.72,0.5702062013517126,0.36823662116315015,0.6787733946064792,7.980677771378272,23.630502708538874,24.941769703628378,60.86461339206305,334.62352301925966,340.1138093656097,27.697111385492086,1147233.3911704698
15,98,74,79,93.67,0.5486935938621815,0.43119373630154717,0.6978486212432355,7.633109838310226,28.649332897268902,29.64875446392719,30.837721853516047,236.2301485635312,238.2344395327066,26.749397509663464,947212.7077200777
