,Image,Number identified - YOLO_px_infer,Number identifiable - YOLO_px_infer,Percentage - YOLO_px_infer,RMSE_cx - YOLO_px_infer,RMSE_cy - YOLO_px_infer,RMSE_c - YOLO_px_infer,RMSE_sigmax - YOLO_px_infer,RMSE_sigmay - YOLO_px_infer,RMSE_sigma - YOLO_px_infer,MaxE_sigmax - YOLO_px_infer,MaxE_sigmay - YOLO_px_infer,MaxE_sigma - YOLO_px_infer,RMSE_amplitude - YOLO_px_infer,RMSEPixel - YOLO_px_infer
8,601,77,76,101.32,12.433934800998193,0.6611194681679258,12.451498447442566,38.659538646090354,81.36047277663681,90.07822410975038,314.9338614564056,957.2561293355066,1007.7314296191414,111.10776083405626,14823159.07328327
17,603,80,77,103.9,13.037557611576892,0.6299339371762555,13.052766957254425,38.304921607694666,80.68371973505023,89.31477845046568,219.16561525405194,563.8844767046443,604.9787351454245,104.07161355341485,14502591.524500709
14,605,79,76,103.95,13.042501862800032,0.6836723041853487,13.060408211868893,33.832286239877824,92.6387593892563,98.62334071302567,174.29635939990544,931.1420321515643,947.3144699303425,108.41445305137611,15202633.127478372
16,614,78,77,101.3,13.078920931826962,0.6139358876883191,13.093322344430886,53.26945274375817,106.17314380925012,118.78708289186663,1261.1474509557886,2296.1832540545665,2619.7233497552565,108.05735101580159,18144430.968843553
9,622,80,76,105.26,13.936839009922705,0.6810639606818726,13.953470167203676,35.01797100953108,90.85404696043945,97.36896909546745,128.17948214083788,405.04547006077456,424.8432798793541,106.9549535022845,14455263.70781607
2,650,79,74,106.76,13.315452088894103,0.6376014822903731,13.33070890770079,44.15650082424728,89.09214895876882,99.43443855693661,257.9100959894581,353.508636433625,437.5911032533138,95.15053673558762,14777814.108125865
10,664,78,73,106.85,13.588591241478925,0.6206054531701785,13.602755715534345,38.9172115681362,78.6412790036028,87.74394634139482,327.3283055783793,320.49888193934953,458.1084510868425,105.58035707025617,14191060.70707286
12,690,75,75,100.0,14.003762452219215,0.7064163910379964,14.021568633206195,42.02244584530424,66.52322021923595,78.68433632660627,205.37067570524337,244.480517499632,319.2927150382797,107.45994955620985,13246770.55768444
11,694,78,74,105.41,14.302040885485527,0.6862402887217807,14.318495005550151,39.525154426495455,76.44634760818857,86.059757698185,318.4687031938826,334.04204564603623,461.5261673766525,102.50526735805772,12685450.381147109
13,700,81,77,105.19,13.06658778185793,0.6391398580466384,13.082209905789725,38.640784749632786,68.77508425926446,78.88676987262427,215.48798104588474,344.99428269370276,406.76298389427484,104.94593073362661,12797750.733841829
4,703,79,74,106.76,12.852405282292237,0.5877359593983628,12.865836743028543,37.8135532281121,103.23303641805512,109.94055037076521,242.43291853939715,1213.851557625063,1237.82443179165,101.61093541848871,14140591.01785657
5,704,79,74,106.76,13.982460456586443,0.6130214946646851,13.99589210350396,37.95038041119948,80.20116596806216,88.72687527458298,186.40518882815914,448.74181866672086,485.9178060561044,103.26581514938525,13439498.02343952
7,710,80,74,108.11,12.972779660109108,0.6039359929490504,12.986829897758726,36.17860472704232,81.59889602583645,89.25957244257243,287.91097631130816,557.1468795528725,627.1406346873353,105.02470660962615,12615649.144850334
19,714,79,76,103.95,15.01709841519084,1.7133084022508016,15.114518533276224,31.78895905630632,90.05898188851596,95.504754523948,156.01866342709502,863.0536026613951,877.0423846111375,99.80942784492103,13792316.701953828
15,719,81,76,106.58,13.007991719542602,0.6034459702605929,13.02198124767167,39.02274145145176,78.8058790894717,87.93827909079916,288.73162146282993,319.1095011932925,430.3450046002473,101.93420915814919,14608297.085118791
6,726,79,76,103.95,13.19077277836946,0.741594846247082,13.211602832607142,40.27537615134455,65.36084790174222,76.77334408873287,286.3216995264307,352.1951266761429,453.895938375888,104.84626515513622,11836273.602080671
0,738,78,77,101.3,13.693775518712933,0.6631111458895291,13.709821455755892,41.805425381856345,83.7125307361569,93.57072936346052,353.8012697283479,378.44165392068334,518.0670071367346,105.53682602187646,14466241.565030528
18,766,79,74,106.76,13.295869531770373,0.5932915134732284,13.309099947998703,33.98647201490127,57.229568052393134,66.56052688706096,114.34495028351503,275.3819531643217,298.17777882319837,102.19603968374696,11070793.989740485
3,772,77,73,105.48,12.248205688310131,0.7396184591096518,12.270516617005512,39.78837485249914,65.60113076502135,76.72433206651209,306.764881632061,389.58148295214943,495.86129558771603,100.52616759268179,11615049.467482893
1,777,81,77,105.19,12.85364160231576,0.6120113858681692,12.86820346346819,40.05651636829143,69.00356211023492,79.78731783600855,414.36714589511797,358.87371751458625,548.170116587912,103.20506418138922,13076895.685854748
