,Image,Number identified - ensembled,Number identifiable - ensembled,Percentage - ensembled,RMSE_cx - ensembled,RMSE_cy - ensembled,RMSE_c - ensembled,RMSE_sigmax - ensembled,RMSE_sigmay - ensembled,RMSE_sigma - ensembled,MaxE_sigmax - ensembled,MaxE_sigmay - ensembled,MaxE_sigma - ensembled,RMSE_amplitude - ensembled,RMSEPixel - ensembled
2,6,76,79,96.2,0.9944735441602414,0.060920508105791006,0.9963377631819941,1.608974091277705,1.5505389591144016,2.234495175679395,6.72942454373059,8.613139019247098,10.930293612462592,22.717313047729984,535065.6647150955
10,37,77,78,98.72,0.8933985687595193,0.07973303582317857,0.8969494744204591,1.6758399161942519,2.5082982506687,3.0166205493925844,10.463316734667211,52.74316486332247,53.77101855916048,21.796109842128924,476897.4931622951
12,39,78,80,97.5,0.902602886927651,0.07742303766794788,0.9059173793740036,1.3440176041630107,1.6896362152283368,2.1589937146993314,8.701029152605482,20.666323414149588,22.423310009289843,20.060542189836188,454391.9457254297
3,60,76,79,96.2,1.0225064522599263,0.09852895885450479,1.0272426201468345,1.8747740761364091,1.888253319085904,2.660879259491505,7.578659026161599,18.74086032473641,20.215239754850792,26.138156735504086,562532.9527415218
16,62,75,78,96.15,1.0918494585950833,0.08066829972037068,1.0948253809691078,1.5367583909423908,2.196885937482522,2.6810322964187328,9.395028014834494,55.665524707087854,56.452787285615344,25.14861887583995,496659.55463305116
7,65,77,80,96.25,1.121065347728676,0.07622827381306771,1.1236539785924033,2.1466926356144707,2.4162922572617926,3.23214441885023,15.351374771881598,30.657384642440245,34.28614793909187,26.369793046488866,595963.1723659498
1,74,77,80,96.25,0.9810422103882505,0.09977013543828353,0.9861023772858667,1.899842679762905,2.0767864610720905,2.814683678984378,12.352093812834761,27.377245775013314,30.034776639531632,26.078412718242006,628296.0110800941
6,88,77,79,97.47,0.8631476494964355,0.10390113064741781,0.8693786918144666,1.6676092612557147,2.187229253652722,2.7504349576494396,8.76305673778849,20.16542570428332,21.98716801283582,19.845293751124128,424528.113014118
17,93,77,78,98.72,1.0888196458001789,0.06631202841297627,1.0908370667485912,1.8781645820757122,1.6051449595031104,2.470625940603287,9.218138691447276,12.53924328854176,15.562991459998841,23.481170154187488,607122.9471446113
15,98,74,79,93.67,0.910718976303449,0.10589610981295056,0.9168549721044865,1.9373983199635754,2.2204600425994045,2.946855111975856,11.10259275285214,37.779737858803315,39.37735591067005,23.90127658636651,455601.9710769655
14,110,76,79,96.2,3.58422283170394,0.3178040798529796,3.598284694195139,1.5497572950501204,2.0762366511404022,2.5908504984077676,6.666059262189818,14.696827767560317,16.137939537510935,26.4202839140533,631188.2385487441
