                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1596,                  3.907,                 2.1737,                  0.023,                0.08747,                0.01431,                0.00502,                 2.8158,                    inf,                 1.9483,                0.00014,                0.00014,                0.00014
                      1,                 2.1586,                 1.8636,                 1.5643,                0.72577,                0.36695,                0.41724,                0.12067,                 2.7858,                 2.3188,                 1.9497,             0.00029703,             0.00029703,             0.00029703
                      2,                 1.3701,                0.71073,                 1.1263,                0.87736,                0.68119,                0.75005,                 0.3364,                 2.0269,                    inf,                 1.5509,             0.00045089,             0.00045089,             0.00045089
                      3,                 1.2542,                0.62955,                 1.0988,                 0.9028,                0.80574,                0.86265,                0.37905,                  1.971,                    inf,                  1.522,             0.00060159,             0.00060159,             0.00060159
                      4,                 1.1181,                0.57959,                  1.034,                0.93272,                0.80402,                0.88172,                0.47873,                 1.6536,                 1.2254,                  1.251,             0.00074911,             0.00074911,             0.00074911
                      5,                 1.0999,                 0.6058,                 1.0419,                0.96403,                 0.8856,                0.94861,                0.52949,                 1.6976,                    inf,                 1.3473,             0.00089347,             0.00089347,             0.00089347
                      6,                0.98902,                0.51898,                0.98814,                 0.9619,                0.93204,                0.96554,                0.69342,                  1.072,                0.72045,                 1.0429,              0.0010347,              0.0010347,              0.0010347
                      7,                 1.0349,                0.53181,                0.98491,                 0.9885,                0.95738,                0.97644,                0.47354,                  2.054,                    inf,                 1.7323,              0.0011727,              0.0011727,              0.0011727
                      8,                 1.1139,                 0.5642,                 1.0277,                0.93842,                0.92485,                0.96433,                0.57326,                 1.3836,                    inf,                 1.1856,              0.0013075,              0.0013075,              0.0013075
                      9,                 1.0572,                0.52374,                 1.0223,                0.97037,                0.95486,                0.97569,                0.68878,                 1.1869,                    inf,                 1.0799,              0.0014392,              0.0014392,              0.0014392
                     10,                 1.0533,                0.51548,                 1.0237,                0.95221,                0.94711,                 0.9834,                0.63197,                 1.3366,                    inf,                 1.0981,              0.0015677,              0.0015677,              0.0015677
                     11,                 1.0289,                0.51649,                0.99369,                0.95886,                0.95864,                0.98839,                0.63877,                 1.1346,                    inf,                 1.0455,              0.0016931,              0.0016931,              0.0016931
                     12,                0.96582,                0.50015,                0.96331,                 0.9587,                0.97845,                0.99129,                0.73798,                 1.0872,                0.64444,                 1.0108,              0.0017624,              0.0017624,              0.0017624
                     13,                0.90628,                0.47335,                0.93694,                0.93921,                0.98209,                0.98983,                0.77649,                0.97542,                0.70491,                0.97346,              0.0017624,              0.0017624,              0.0017624
                     14,                0.87412,                0.45726,                0.94089,                0.99416,                0.95532,                0.97993,                0.72386,                 1.0737,                0.54682,                0.99381,              0.0017426,              0.0017426,              0.0017426
                     15,                0.83181,                0.44406,                0.90781,                0.99421,                0.97961,                0.99355,                0.78898,                0.93783,                0.47293,                0.92981,              0.0017228,              0.0017228,              0.0017228
                     16,                0.76916,                0.42342,                0.89355,                0.99372,                0.97803,                0.99063,                0.79367,                0.99394,                0.47348,                0.95765,               0.001703,               0.001703,               0.001703
                     17,                0.85959,                0.42897,                0.91367,                0.99474,                0.97718,                0.99315,                 0.7761,                0.98492,                0.44589,                0.94853,              0.0016832,              0.0016832,              0.0016832
                     18,                 0.8745,                0.45132,                0.92999,                0.99613,                0.97687,                0.99057,                0.81734,                0.91575,                0.42249,                0.96073,              0.0016634,              0.0016634,              0.0016634
                     19,                0.77163,                0.40987,                 0.9183,                0.99526,                0.99002,                0.99482,                0.83982,                0.81564,                0.39465,                0.90252,              0.0016436,              0.0016436,              0.0016436
                     20,                0.75594,                0.39433,                0.89664,                0.99665,                0.97465,                0.99008,                0.85266,                0.74332,                 0.3628,                0.89488,              0.0016238,              0.0016238,              0.0016238
