                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4137,                 4.0516,                 2.5182,                0.00483,                0.01836,                0.00264,                0.00075,                 3.4428,                    inf,                 2.6427,                  6e-05,                  6e-05,                  6e-05
                      1,                 3.4804,                 4.0864,                 2.5141,                0.00767,                0.02912,                0.00564,                0.00123,                 3.3066,                    inf,                 2.5736,             0.00013861,             0.00013861,             0.00013861
                      2,                 3.0597,                 3.1886,                 2.1834,                 0.1018,                0.36214,                0.13062,                0.04161,                 3.3168,                 3.0403,                 2.5408,             0.00021564,             0.00021564,             0.00021564
                      3,                 1.6524,                 1.0903,                 1.3913,                0.70399,                0.52097,                0.57219,                0.18954,                 2.4636,                 2.4567,                 1.9483,             0.00029109,             0.00029109,             0.00029109
                      4,                 1.1747,                0.65906,                 1.1364,                0.86108,                0.71763,                0.79166,                0.35821,                 1.9623,                    inf,                 1.6427,             0.00036495,             0.00036495,             0.00036495
                      5,                 1.1191,                0.61899,                 1.0983,                0.92328,                 0.8471,                0.91618,                0.60233,                 1.2369,                 1.5779,                 1.2254,             0.00043723,             0.00043723,             0.00043723
                      6,                0.90313,                 0.5166,                 1.0365,                0.89548,                0.87328,                0.92303,                0.65098,                 1.1151,                 1.4439,                 1.1486,             0.00050792,             0.00050792,             0.00050792
                      7,                 0.9167,                0.50596,                 1.0258,                0.96747,                0.91801,                0.97175,                0.42489,                 2.0245,                 1.8803,                 1.7449,             0.00057703,             0.00057703,             0.00057703
                      8,                0.88331,                0.47585,                0.98503,                0.97389,                 0.9867,                0.99394,                0.75796,                0.98971,                 1.0077,                 1.0633,             0.00064456,             0.00064456,             0.00064456
                      9,                0.77896,                0.44536,                0.95617,                0.87357,                0.99652,                0.91152,                0.62741,                 1.1677,                    inf,                 1.1593,              0.0007105,              0.0007105,              0.0007105
                     10,                0.77096,                 0.4379,                0.93991,                0.88797,                0.93099,                0.91781,                0.70262,                 1.0014,                 1.1446,                 1.0567,             0.00077486,             0.00077486,             0.00077486
                     11,                0.76701,                0.43573,                0.92335,                0.89905,                  0.936,                0.92857,                0.66884,                 1.1718,                  1.318,                 1.1254,             0.00083763,             0.00083763,             0.00083763
                     12,                0.72734,                0.40747,                0.93311,                0.73263,                0.97594,                0.74323,                0.54112,                 1.1216,                    inf,                 1.1158,             0.00089882,             0.00089882,             0.00089882
                     13,                 0.6804,                0.38734,                0.91489,                0.97506,                 0.9901,                0.99395,                0.79145,                 0.9051,                0.91593,                 1.0331,             0.00095843,             0.00095843,             0.00095843
                     14,                 0.7192,                 0.3903,                0.92215,                0.98366,                0.99873,                0.99466,                0.76012,                0.97914,                 1.1393,                 1.0577,              0.0010165,              0.0010165,              0.0010165
                     15,                 0.8142,                0.40884,                0.93781,                 0.9914,                0.99778,                0.99473,                0.67335,                 1.2305,                 1.0821,                 1.1966,              0.0010729,              0.0010729,              0.0010729
                     16,                0.72916,                0.38879,                0.91427,                 0.9912,                0.99834,                 0.9947,                0.83281,                0.72637,                0.67865,                0.94205,              0.0011277,              0.0011277,              0.0011277
                     17,                0.68119,                0.37731,                0.89827,                0.99307,                0.99831,                0.99495,                0.84198,                0.73746,                0.62907,                0.93998,               0.001181,               0.001181,               0.001181
                     18,                0.67163,                0.36856,                0.92484,                0.99684,                 0.9987,                0.99495,                 0.8049,                0.82502,                0.56559,                0.99837,              0.0012327,              0.0012327,              0.0012327
                     19,                0.75836,                0.38307,                0.95866,                0.95666,                      1,                0.95702,                0.73341,                0.97281,                0.83477,                 1.0856,              0.0012828,              0.0012828,              0.0012828
                     20,                0.77924,                0.40241,                0.97728,                0.99779,                0.99937,                0.99499,                 0.8288,                0.71406,                0.66057,                0.94574,              0.0013313,              0.0013313,              0.0013313
                     21,                0.71068,                0.37144,                0.92967,                0.99968,                0.99999,                0.99492,                0.84772,                0.69686,                0.45155,                0.95853,              0.0013783,              0.0013783,              0.0013783
                     22,                0.73309,                 0.3848,                0.92988,                0.99628,                0.99968,                0.99474,                0.86287,                0.70506,                 0.4385,                 0.9362,              0.0014236,              0.0014236,              0.0014236
                     23,                0.79717,                0.40489,                  0.953,                0.99962,                      1,                0.99472,                0.82601,                0.74587,                 0.4147,                 1.0023,              0.0014674,              0.0014674,              0.0014674
                     24,                0.76627,                0.39554,                0.95432,                0.99957,                      1,                0.99496,                0.88249,                0.58179,                0.39182,                0.88661,              0.0015096,              0.0015096,              0.0015096
                     25,                 0.6874,                0.38578,                0.91956,                0.99929,                      1,                0.99494,                0.83338,                0.78127,                0.44914,                0.98327,               0.001505,               0.001505,               0.001505
                     26,                 0.6549,                0.37322,                0.90639,                0.99968,                0.99993,                0.99495,                0.87425,                0.60824,                0.36991,                0.91255,               0.001505,               0.001505,               0.001505
                     27,                0.64471,                 0.3637,                0.88512,                0.99966,                      1,                0.99495,                0.86884,                0.61803,                0.37917,                0.89116,              0.0014852,              0.0014852,              0.0014852
                     28,                0.66673,                0.37709,                0.89856,                0.99931,                0.99968,                0.99496,                0.86114,                0.64015,                0.37855,                0.89522,              0.0014654,              0.0014654,              0.0014654
                     29,                0.63411,                0.37261,                0.89343,                0.99909,                0.99968,                0.99496,                0.88703,                0.55637,                0.33471,                0.86795,              0.0014456,              0.0014456,              0.0014456
                     30,                0.61721,                0.35863,                0.87139,                0.99966,                      1,                0.99495,                0.88275,                0.63034,                 0.3456,                0.92577,              0.0014258,              0.0014258,              0.0014258
                     31,                0.57169,                0.34782,                0.86771,                0.99966,                      1,                0.99489,                0.88365,                0.55844,                 0.3236,                0.86769,               0.001406,               0.001406,               0.001406
                     32,                0.61724,                0.34702,                0.87212,                0.99966,                      1,                0.99497,                0.87774,                0.63228,                0.32976,                0.87396,              0.0013862,              0.0013862,              0.0013862
                     33,                0.63175,                0.34973,                0.87636,                0.99966,                      1,                0.99496,                 0.8977,                0.58522,                  0.301,                0.87446,              0.0013664,              0.0013664,              0.0013664
                     34,                0.65012,                 0.3548,                0.88951,                0.99966,                      1,                0.99496,                0.88735,                0.59982,                0.31752,                0.88256,              0.0013466,              0.0013466,              0.0013466
                     35,                  0.588,                0.33175,                0.87976,                0.99967,                      1,                0.99495,                0.89941,                0.62053,                0.31194,                0.88754,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.5513,                0.32357,                 0.8781,                0.99967,                      1,                0.99497,                0.87805,                0.62781,                0.32933,                0.90731,               0.001307,               0.001307,               0.001307
                     37,                0.61385,                0.34112,                0.89134,                0.99966,                      1,                0.99498,                0.87712,                0.60191,                0.30637,                0.86882,              0.0012872,              0.0012872,              0.0012872
                     38,                0.64874,                0.34912,                0.90381,                0.99965,                      1,                0.99488,                0.90023,                 0.5624,                0.31728,                 0.8828,              0.0012674,              0.0012674,              0.0012674
                     39,                0.57021,                 0.3453,                0.87309,                0.99964,                      1,                0.99497,                0.89756,                0.55488,                0.29274,                0.87229,              0.0012476,              0.0012476,              0.0012476
                     40,                0.53781,                0.32829,                0.86422,                0.99966,                      1,                0.99497,                0.93649,                0.42065,                0.26553,                 0.8317,              0.0012278,              0.0012278,              0.0012278
                     41,                0.49867,                0.30938,                0.85542,                0.99966,                      1,                0.99498,                0.89888,                0.56123,                0.29413,                0.86904,               0.001208,               0.001208,               0.001208
                     42,                0.51468,                0.31253,                0.85714,                0.99966,                      1,                0.99497,                0.87642,                0.61936,                0.30354,                0.87922,              0.0011882,              0.0011882,              0.0011882
                     43,                0.51617,                0.30795,                0.85188,                0.99966,                      1,                0.99497,                0.91269,                0.48056,                0.28089,                0.84001,              0.0011684,              0.0011684,              0.0011684
                     44,                0.52059,                0.30694,                0.86021,                0.99966,                      1,                0.99495,                0.88826,                0.58443,                0.29317,                0.87558,              0.0011486,              0.0011486,              0.0011486
                     45,                0.57297,                0.31812,                0.86856,                0.99966,                      1,                0.99492,                0.92985,                0.43535,                0.23887,                0.83283,              0.0011288,              0.0011288,              0.0011288
