                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3662,                 5.3244,                 3.2687,                 2.8433,                0.16476,                0.38856,                0.17823,                0.10597,                0.00179,                0.00422,                0.00091,                0.00015,                 2.0128,                 4.8811,                 2.8458,                 2.0962,                  8e-05,                  8e-05,                  8e-05
                      1,                 2.9381,                 3.1942,                 3.1396,                 2.5181,                0.22546,                0.43957,                0.28637,                0.15193,                0.00033,                0.00065,                 0.0002,                  4e-05,                 1.7015,                 2.0204,                 2.8645,                 1.7469,              0.0001206,              0.0001206,              0.0001206
                      2,                 2.3998,                 2.4239,                 2.8778,                 2.1505,                0.26736,                0.43665,                0.31954,                0.18173,                 0.0006,                0.00097,                 0.0003,                  3e-05,                 1.4777,                 1.4166,                 2.8409,                 1.5941,               9.52e-05,               9.52e-05,               9.52e-05
