                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4557,                 4.3882,                 3.1901,                 2.8134,                 0.1295,                0.45097,                0.23298,                0.06349,                      0,                      0,                      0,                      0,                 2.9347,                 2.2144,                 2.9488,                  2.496,                0.00034,                0.00034,                0.00034
                      1,                 2.2756,                 2.1335,                 2.2761,                 1.8697,                0.20863,                0.65217,                 0.4331,                0.17884,                 0.0002,                0.00063,                 0.0001,                  2e-05,                 2.0626,                 1.7825,                 2.4282,                  2.082,               0.000601,               0.000601,               0.000601
                      2,                 1.9199,                 2.0779,                 1.7794,                 1.6459,                0.24554,                0.63345,                0.46485,                0.20595,                0.00012,                0.00032,                  6e-05,                  1e-05,                 1.8175,                 1.8709,                 1.7435,                  1.861,             0.00076017,             0.00076017,             0.00076017
                      3,                 1.7989,                 1.9493,                 1.6162,                 1.5927,                0.64604,                0.32495,                0.48232,                 0.2336,                0.00078,                0.00063,                0.00029,                  8e-05,                 1.6432,                 1.4978,                 1.4266,                 1.7099,             0.00081751,             0.00081751,             0.00081751
                      4,                 1.6899,                 1.8891,                 1.4968,                 1.5779,                0.55061,                0.36116,                0.44855,                0.22992,                0.00136,                0.00063,                0.00025,                  3e-05,                 1.5055,                 1.5012,                 1.2656,                 1.6703,             0.00077303,             0.00077303,             0.00077303
                      5,                 1.6419,                 1.8395,                 1.3972,                 1.5782,                0.47937,                0.35322,                0.40513,                0.22008,                0.00151,                0.00413,                 0.0008,                0.00012,                 1.4399,                 1.4475,                 1.1638,                 1.5517,             0.00058571,             0.00058571,             0.00058571
                      6,                 1.6159,                 1.8733,                 1.3551,                 1.5374,                0.62094,                0.37575,                0.50586,                0.26863,                0.02002,                0.00666,                0.00685,                0.00332,                 1.4383,                 1.4551,                 1.1221,                 1.4866,             0.00058571,             0.00058571,             0.00058571
