                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.80302,                 0.4312,                0.87708,                0.99293,                0.96982,                0.98692,                0.76242,                 0.9411,                0.46741,                0.94506,              0.0013466,              0.0013466,              0.0013466
                     35,                0.86107,                0.44819,                0.90296,                 0.9919,                0.97212,                0.98804,                0.81189,                 0.7538,                0.40534,                0.87015,              0.0013268,              0.0013268,              0.0013268
                     36,                0.77419,                0.42494,                0.88399,                  0.993,                0.94692,                0.97349,                0.71616,                 1.1056,                0.48648,                 1.0149,               0.001307,               0.001307,               0.001307
                     37,                0.86667,                0.44029,                0.89412,                0.99189,                0.95044,                0.97699,                0.79219,                0.78879,                0.42309,                0.88837,              0.0012872,              0.0012872,              0.0012872
                     38,                0.99371,                0.48679,                0.92686,                0.99305,                0.95279,                0.97724,                0.82632,                0.70298,                 0.3831,                0.86412,              0.0012674,              0.0012674,              0.0012674
                     39,                0.78616,                0.43006,                0.88484,                0.99369,                0.95107,                0.97443,                 0.7682,                0.90148,                0.40531,                0.92989,              0.0012476,              0.0012476,              0.0012476
                     40,                0.77503,                0.41515,                0.88285,                0.99574,                0.96429,                 0.9843,                 0.8278,                0.74948,                0.39351,                0.87625,              0.0012278,              0.0012278,              0.0012278
                     41,                0.79269,                0.41202,                0.88681,                0.98948,                0.98606,                0.99443,                0.84957,                0.64116,                0.35768,                0.85448,               0.001208,               0.001208,               0.001208
                     42,                0.71068,                 0.3952,                0.86714,                0.99427,                0.96665,                0.98309,                0.83826,                0.71526,                0.37406,                0.88058,              0.0011882,              0.0011882,              0.0011882
                     43,                0.73061,                0.39636,                 0.8708,                0.99733,                0.96887,                0.98529,                0.85649,                0.66024,                0.34284,                0.85331,              0.0011684,              0.0011684,              0.0011684
                     44,                0.69802,                0.38939,                0.87303,                 0.9941,                0.94441,                0.97242,                0.83763,                0.64147,                0.33214,                0.85903,              0.0011486,              0.0011486,              0.0011486
                     45,                0.68831,                0.37768,                0.86688,                0.99282,                  0.967,                0.98409,                0.87595,                0.55783,                0.33509,                0.83376,              0.0011288,              0.0011288,              0.0011288
                     46,                0.67211,                0.38208,                0.85924,                0.99153,                0.96638,                0.98407,                  0.887,                0.56949,                0.32955,                0.83484,               0.001109,               0.001109,               0.001109
                     47,                0.68184,                0.37734,                0.86046,                0.99434,                0.94849,                0.97623,                0.85429,                0.61654,                0.32813,                0.84505,              0.0010892,              0.0010892,              0.0010892
                     48,                0.74835,                0.40373,                0.86225,                0.99402,                0.94976,                0.97745,                0.82489,                0.66877,                0.36557,                0.85674,              0.0010694,              0.0010694,              0.0010694
                     49,                0.80595,                0.42229,                0.88083,                0.98878,                0.98023,                0.99146,                 0.7233,                 1.0302,                0.46968,                0.94977,              0.0010496,              0.0010496,              0.0010496
                     50,                0.76446,                0.41671,                0.86784,                0.99567,                0.97395,                 0.9885,                0.88314,                0.59303,                0.34167,                0.84136,              0.0010298,              0.0010298,              0.0010298
                     51,                0.67558,                0.37663,                0.85131,                 0.9911,                0.95527,                0.97931,                0.81234,                0.76366,                0.35583,                0.86975,                0.00101,                0.00101,                0.00101
                     52,                0.74691,                0.38803,                0.86589,                0.99513,                0.95299,                0.97666,                0.85244,                0.65402,                0.37689,                0.85522,              0.0009902,              0.0009902,              0.0009902
                     53,                0.66588,                0.37508,                0.85733,                0.99339,                0.95462,                0.97831,                0.87099,                0.57723,                0.31081,                0.84507,              0.0009704,              0.0009704,              0.0009704
                     54,                0.73859,                0.38636,                 0.8712,                0.99382,                0.96537,                0.98519,                0.88776,                0.53946,                0.32071,                0.82987,              0.0009506,              0.0009506,              0.0009506
                     55,                0.63206,                0.37012,                 0.8483,                0.99232,                0.96442,                0.98435,                0.88211,                0.54768,                 0.3009,                0.82901,              0.0009308,              0.0009308,              0.0009308
                     56,                0.63878,                0.35677,                 0.8445,                0.99372,                0.95457,                0.97851,                0.87811,                0.57944,                0.30492,                0.84989,               0.000911,               0.000911,               0.000911
                     57,                0.63556,                0.35147,                0.84923,                0.99446,                0.96823,                0.98486,                0.89235,                0.51968,                0.29429,                0.82725,              0.0008912,              0.0008912,              0.0008912
                     58,                0.60484,                 0.3442,                0.84293,                0.99383,                0.96474,                 0.9823,                0.84378,                0.69699,                0.32823,                0.86206,              0.0008714,              0.0008714,              0.0008714
                     59,                0.62576,                0.34395,                0.84573,                0.99286,                0.97186,                0.98691,                0.90341,                0.52204,                0.28856,                0.82457,              0.0008516,              0.0008516,              0.0008516
                     60,                0.62144,                0.34432,                0.84299,                0.99154,                 0.9678,                0.98545,                0.89394,                0.57642,                0.29937,                0.84587,              0.0008318,              0.0008318,              0.0008318
                     61,                0.61288,                0.34491,                0.84371,                0.99229,                 0.9749,                0.98924,                0.84384,                0.72928,                0.33465,                0.86369,               0.000812,               0.000812,               0.000812
                     62,                0.63976,                0.35036,                0.84696,                0.99654,                0.97808,                0.99135,                0.88183,                0.57477,                0.29967,                0.84204,              0.0007922,              0.0007922,              0.0007922
                     63,                0.58097,                0.33643,                0.83957,                0.99634,                0.95067,                0.97563,                0.88839,                0.52809,                0.28704,                0.83258,              0.0007724,              0.0007724,              0.0007724
                     64,                0.59996,                0.33854,                0.83889,                 0.9968,                0.96855,                0.98425,                0.89203,                0.53355,                0.29098,                0.83185,              0.0007526,              0.0007526,              0.0007526
                     65,                0.58669,                0.33385,                 0.8422,                0.99704,                 0.9634,                0.98288,                0.90749,                0.48255,                0.26853,                0.82327,              0.0007328,              0.0007328,              0.0007328
                     66,                0.56481,                0.32801,                0.83515,                0.99755,                0.94727,                0.97554,                0.88093,                 0.5498,                0.29276,                0.83847,               0.000713,               0.000713,               0.000713
                     67,                0.54564,                0.32346,                0.82686,                0.99485,                0.98091,                0.99108,                0.90778,                0.49729,                 0.2741,                0.82363,              0.0006932,              0.0006932,              0.0006932
                     68,                0.56251,                0.32638,                0.83255,                0.99547,                 0.9779,                0.99096,                0.90253,                0.51788,                0.28378,                0.82771,              0.0006734,              0.0006734,              0.0006734
                     69,                0.53663,                0.32102,                0.83006,                0.99642,                0.97371,                0.98865,                0.90036,                0.51909,                0.28007,                0.83014,              0.0006536,              0.0006536,              0.0006536
                     70,                0.51912,                0.30828,                0.82459,                0.99633,                0.97872,                0.99141,                  0.916,                0.48631,                0.26979,                0.82098,              0.0006338,              0.0006338,              0.0006338
                     71,                0.53961,                0.31462,                0.83116,                0.99644,                0.97754,                0.99083,                0.91269,                0.48995,                0.27695,                0.82428,               0.000614,               0.000614,               0.000614
                     72,                0.55638,                0.32172,                0.83186,                0.99669,                0.95748,                0.98222,                0.90951,                0.47107,                0.26811,                0.81823,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.5359,                0.31478,                0.82866,                0.99769,                0.96172,                0.98433,                0.92414,                0.44711,                0.25933,                0.81473,              0.0005744,              0.0005744,              0.0005744
                     74,                0.53711,                0.31717,                0.82222,                0.99454,                0.98279,                0.99321,                0.88581,                0.58016,                0.30898,                0.83366,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.6329,                0.33782,                0.84413,                  0.996,                 0.9749,                0.98937,                0.90463,                0.50771,                 0.2834,                 0.8283,              0.0005348,              0.0005348,              0.0005348
                     76,                0.56312,                0.32162,                0.83433,                0.99583,                0.94886,                0.97622,                0.87278,                0.58613,                0.29269,                0.84653,               0.000515,               0.000515,               0.000515
                     77,                0.61769,                0.33028,                 0.8421,                0.99447,                0.97075,                0.98708,                0.90092,                0.51407,                0.27128,                0.83083,              0.0004952,              0.0004952,              0.0004952
                     78,                0.53814,                0.31225,                0.83092,                0.99643,                0.97653,                0.98998,                0.88341,                0.58905,                0.29002,                0.84208,              0.0004754,              0.0004754,              0.0004754
                     79,                0.58681,                0.32175,                0.84747,                0.99601,                0.95216,                0.97818,                0.89599,                0.50776,                0.26978,                0.82763,              0.0004556,              0.0004556,              0.0004556
                     80,                0.57455,                0.32078,                0.83361,                0.99732,                0.94688,                0.97614,                0.85975,                0.63909,                0.29401,                0.84014,              0.0004358,              0.0004358,              0.0004358
                     81,                0.56595,                0.31679,                0.83301,                0.99644,                0.97649,                0.99026,                0.90075,                0.51681,                0.27134,                0.82477,               0.000416,               0.000416,               0.000416
                     82,                0.49798,                 0.2985,                0.81734,                0.99708,                0.97745,                0.98995,                0.89809,                0.53222,                0.27746,                0.83515,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.5359,                0.30711,                0.82317,                0.99606,                  0.964,                0.98598,                 0.9018,                  0.503,                0.26855,                0.82067,              0.0003764,              0.0003764,              0.0003764
                     84,                0.52326,                0.30387,                0.81836,                 0.9958,                0.98253,                0.99248,                0.91739,                0.48772,                0.26223,                 0.8224,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.4983,                0.30011,                0.82169,                0.99641,                0.96964,                0.98897,                0.92308,                0.46439,                0.25691,                0.81936,              0.0003368,              0.0003368,              0.0003368
                     86,                0.49721,                 0.2956,                0.82239,                 0.9967,                0.95841,                0.98412,                0.90485,                0.49908,                 0.2683,                0.82273,               0.000317,               0.000317,               0.000317
                     87,                0.49115,                0.29351,                0.81799,                0.99633,                0.97618,                0.99034,                0.90669,                0.50167,                0.26479,                0.82406,              0.0002972,              0.0002972,              0.0002972
