,Image,Number identified - ensembled,Number identifiable - ensembled,Percentage - ensembled,RMSE_cx - ensembled,RMSE_cy - ensembled,RMSE_c - ensembled,RMSE_sigmax - ensembled,RMSE_sigmay - ensembled,RMSE_sigma - ensembled,MaxE_sigmax - ensembled,MaxE_sigmay - ensembled,MaxE_sigma - ensembled,RMSE_amplitude - ensembled,RMSEPixel - ensembled
14,203,79,79,100.0,2.0200162850014958,0.11890147047185692,2.0235126269315975,9.223710526330798,2.432095428551193,9.53896870983049,47.831288495774,12.904996743503853,49.541609785268456,12.993821021410865,366781.759688226
1,204,80,79,101.27,1.9696748945411142,0.10756333743962974,1.9726097084184446,4.720540636622566,2.6878416232289934,5.432126332622176,34.052733793100806,84.76581840324931,91.35005554654266,12.309615087053762,351030.450295443
3,217,79,79,100.0,1.9922761846599752,0.12056955625197091,1.9959211943005426,7.774540712998436,2.101331519625581,8.053513360853273,55.03822652465274,15.434454948524415,57.16142736616204,13.18085312235324,354638.0120254636
19,239,79,79,100.0,2.087684985421677,0.05370564374665887,2.088375659340376,5.947888016186537,1.3811269776216557,6.106134913462833,46.67665633617393,7.964256004368388,47.3512367359967,12.042187008963142,359594.1577691864
9,241,80,79,101.27,2.6295207126120523,0.17803958177371412,2.6355411722706883,10.23549248162353,4.9200278937212145,11.356583148833394,49.1357065431146,84.97633426658606,98.15953872588055,12.684335040148312,319606.20267472725
11,253,80,79,101.27,1.9398786869989173,0.0892291607953073,1.9419297524392787,7.799172150422695,3.094611564524542,8.390691685863448,49.57019455205111,84.50338486301672,97.96951689803988,9.796363694053172,250437.76363290503
4,257,79,79,100.0,2.3734596338693232,0.12221269631998752,2.3766040008274207,7.813117562578202,2.6224965759587104,8.241498306593474,46.3805652929583,16.046415919671503,49.07794108111561,13.469574657229156,368655.4539395621
15,274,79,79,100.0,2.3098133666644536,0.13768912103084882,2.3139135858696247,9.362673905162087,2.7978143647723988,9.771766875756393,54.22223120280877,15.653792134943926,56.43661546208172,9.975728999706659,260575.09258557027
0,277,81,79,102.53,2.143555981579572,0.09758942643105568,2.1457763029534798,7.241691075550849,2.9865903466517114,7.833378040949255,53.66194842953674,85.02111905714729,100.53952155736506,10.150887001166224,279368.38142913306
5,285,80,79,101.27,1.9329800578256704,0.10934802925127314,1.9360704779147038,7.308435651493708,2.6373509722228983,7.769739495163871,51.201536710472084,84.86497785185584,99.1143875898439,12.095291800891202,325971.2618240804
16,292,79,79,100.0,2.0918031566909057,0.10706761745183395,2.0945414584220696,6.426126632741118,1.9384888233819892,6.712141418236179,47.6224668772941,22.213517235023172,52.54845097079119,12.042518104649881,333575.3062358643
7,306,79,79,100.0,1.9062898953659373,0.08015909531881954,1.9079744877059042,6.698311347992271,2.028843138748099,6.998827001454406,50.67758155065869,13.620732738286852,52.47610534473286,12.912919044487253,365962.3945417597
6,310,80,79,101.27,1.9566442397279802,0.14461693485551852,1.9619813298570634,8.96095413894777,3.365749300074683,9.572197628093477,51.75076646893116,84.24441017078608,98.86992705138148,11.245571275143536,266741.75070201035
8,334,79,79,100.0,1.8400674238567525,0.11218134617419047,1.8434838699506648,9.058033756299661,3.3593738766125285,9.660919644274598,49.39325900791913,32.93341371726156,59.365846869186456,10.775798882593728,289645.60902949347
12,348,79,79,100.0,2.170482653811532,0.0930005133388444,2.1724741761360566,7.66574283487049,2.0780916725114738,7.942422691454402,54.1202725356939,15.88522394915495,56.40340627349194,10.945261727968122,319074.8634747916
13,349,79,79,100.0,2.098136356542233,0.15151345498877722,2.103599890113838,10.349366471260444,2.723297084958992,10.701669653348302,53.39370333792007,13.156695998282276,54.990782916130904,13.415784431584205,335390.7115527192
10,363,79,79,100.0,2.4581324346491806,0.0686203800545674,2.459090039594553,6.9068015381979,1.5394406419656752,7.076283274303578,49.52072187349736,14.322927503978455,51.55044274452454,11.31686988272862,314152.513967183
18,364,80,79,101.27,1.9984778835419745,0.09928781935008874,2.0009427583211132,8.257017242249956,3.102841965654927,8.820768787506132,45.70978149772031,84.53688264107629,96.1034268444182,9.521381941233088,266586.24019330967
2,385,79,79,100.0,2.212251575372847,0.10761488646214347,2.2148674896092326,7.689227913891614,2.2875521741725175,8.022289003852416,57.43886123870989,41.691900348977626,70.9749063761894,13.70596023800085,386766.5604905177
17,395,79,79,100.0,1.8628732093008589,0.10123511297625916,1.8656219182970053,7.920288550564349,2.1569863205287247,8.208749034484411,56.23012440009396,23.006333931184855,60.754574239337984,11.196362279891167,308399.62448511785
