,Image,Number identified - YOLO_px,Number identifiable - YOLO_px,Percentage - YOLO_px,RMSE_cx - YOLO_px,RMSE_cy - YOLO_px,RMSE_c - YOLO_px,RMSE_sigmax - YOLO_px,RMSE_sigmay - YOLO_px,RMSE_sigma - YOLO_px,MaxE_sigmax - YOLO_px,MaxE_sigmay - YOLO_px,MaxE_sigma - YOLO_px,RMSE_amplitude - YOLO_px,RMSEPixel - YOLO_px
14,203,79,79,100.0,2.295917545747935,0.36457497477869977,2.324683266406009,32.346078293143854,23.014511053482238,39.69806670326715,208.73743155130705,239.19101257625616,317.4644166326225,14.091005637538856,1148674.4621636637
1,204,80,79,101.27,2.28326346867855,0.35102125370209,2.3100883073927263,51.39707928387472,24.611715876040773,56.98593087136386,1692.8840299926126,312.9819918135597,1721.573137047512,13.748085371888635,1470921.8177481878
3,217,79,79,100.0,2.5394779114292434,0.34778760715885004,2.563182452017474,36.41394034146724,29.74959600170115,47.02141547695441,189.67313412984151,1037.4145557798124,1054.6112356477445,14.522387366248962,1445860.9052810024
19,239,79,79,100.0,2.192342130656623,0.2798387922684955,2.2101298078416822,37.24619171435302,19.176377357188112,41.892866287324104,261.10713656148886,189.87503241263084,322.8458838161602,13.275033097232535,1532142.9628558846
9,241,80,79,101.27,2.364354146916301,0.3421950662581014,2.38898890650662,24.574425898963792,16.135563149148986,29.398278970100225,129.04593819941587,90.73548450777764,157.75228148787141,13.414252652056197,830105.8203753829
11,253,80,79,101.27,2.200399110358865,0.34108178699256503,2.2266775766343287,45.87674447796598,17.25944513611716,49.01595791477731,698.597850629554,99.75823182299325,705.6845341373742,10.555171698889328,1347402.4622925788
4,257,79,79,100.0,2.5685506576516905,0.36455820232005287,2.5942928061037676,29.129931448428938,21.96570977687792,36.483493694987594,279.2861417518032,197.15015562871022,341.8609846692556,14.540878788775785,1203626.878869853
15,274,79,79,100.0,2.429226532765406,0.30628082693528846,2.448458595206298,29.475641875518228,16.492163594364314,33.77580382458839,127.29888421054805,318.2513970767184,342.76662273700686,10.535773665625273,987354.9768100607
0,277,81,79,102.53,2.4606215635912942,0.339672172730847,2.4839556485851673,32.61516375565907,15.054939331905167,35.92213948383089,545.8274409015587,50.62144503249474,548.1697966308636,11.154311010148373,961098.5137248744
5,285,80,79,101.27,2.6337754487667167,0.33585873852946246,2.6551034267562765,34.69820498734275,17.216951828654118,38.73485329278857,614.4602652924352,106.4563703120488,623.6139642465248,13.316389287561309,1178680.7167948135
16,292,79,79,100.0,2.61784463293218,0.31811319915849073,2.6371019187074793,40.90144538368891,15.429728390036626,43.71504034843373,437.612106982552,43.860031932932905,439.80456861982054,13.041459585225232,1323225.8698630326
7,306,79,79,100.0,1.8631512529573784,0.32833570023356967,1.891860704027788,34.11316166263548,23.38670056403177,41.35995118339463,248.71527239800128,296.41936372045217,386.94150192561364,14.353578223936825,1484867.6807844436
6,310,80,79,101.27,2.3468475537150124,0.3470965180354356,2.3723763262202864,43.9617724012887,18.988286770496615,47.887289202264576,422.01428795205106,228.45032666084052,479.8808299850302,11.799106931254597,1392248.8581304154
8,334,79,79,100.0,2.3580697555183683,0.31275444597014934,2.378719890059473,35.3526561772292,16.88437348076524,39.17770241634073,507.3538192464977,155.15670538418487,530.5483023530305,11.611103702507428,1015781.1291312815
12,348,79,79,100.0,2.2323768064469536,0.30550735510363836,2.2531846240343287,83.06826775622709,20.330656976339846,85.52001357056623,3681.441811351791,135.17400709145952,3683.9226135414838,11.962399043584886,1376012.819392493
13,349,79,79,100.0,2.5857073095868115,0.3676895538440975,2.6117193376886307,41.89038270598262,21.28544297437035,46.98802236601217,368.1248573689437,222.2657409163822,430.02089507140636,14.919929532681978,1482384.7109549358
10,363,79,79,100.0,2.4240515800424483,0.3542825054358191,2.4498045139080324,33.058932692135286,22.85511723020022,40.19016564222305,314.1828939817929,214.22996471877607,380.27012590286733,12.457396942896155,1404229.9691780403
18,364,80,79,101.27,2.307453089093313,0.3416292760181368,2.3326059076918564,33.163743696755596,17.17094357661458,37.345350437442384,411.0845014557491,265.8084535931054,489.53508693318383,10.116856283239152,1110856.4031420543
2,385,79,79,100.0,2.7085925139878406,0.3484261635302011,2.730910873365029,53.47154502174518,24.102361523882113,58.65262106709669,700.8965313130977,364.3087508503034,789.9220300465361,14.81388615704106,1613016.6269626997
17,395,79,79,100.0,2.0033989477485385,0.3581038606239427,2.0351525050555117,33.98096932403458,17.330527907767358,38.14516317651404,486.63737744033557,159.8619210913093,512.2223842600123,12.280315110621451,1037769.2394123354
