,Image,Number identified - gmm,Number identifiable - gmm,Percentage - gmm,RMSE_cx - gmm,RMSE_cy - gmm,RMSE_c - gmm,RMSE_sigmax - gmm,RMSE_sigmay - gmm,RMSE_sigma - gmm,RMSE_amplitude - gmm,MaxE_sigmax - gmm,MaxE_sigmay - gmm,MaxE_sigma - gmm,RMSEPixel - gmm
14,203,75,79,94.94,2.743075091719435,0.6299536239534044,2.8144808628135336,24.903234965887684,46.67861165640556,52.906180148785374,10.49235060045179,63.00068242868312,59.081311280476015,86.36948146828418,532132.0900865857
1,204,78,79,98.73,2.398932007704712,0.6464334183766338,2.4845021517366934,24.05029789315597,47.28834185689239,53.05284256591595,9.867398818001938,45.842052988972675,57.023791203012344,73.16561067474615,543895.76872026
3,217,74,79,93.67,3.0296660977951353,0.36834369911788517,3.051975384043759,25.377661949346503,47.041423407284626,53.45017532430305,10.759400337538704,54.68409013138954,56.66717892207514,78.74972305020768,534121.5845810544
19,239,76,79,96.2,2.0988615357807134,0.3234916383787559,2.1236446469409014,24.587535740396945,47.89257364088271,53.83535570359567,9.729761689012589,57.228213852232976,56.87758050032271,80.68536189599449,535522.9899237391
9,241,76,79,96.2,2.6358842665420616,0.29772911477408676,2.6526455647877545,24.617422946285096,47.42949768862951,53.437578196546255,9.759736636870162,53.01064204770911,56.98192378043384,77.82716625979334,525817.2464505843
11,253,77,79,97.47,2.4172304385249084,0.28528013756473075,2.4340065221400438,26.164898474210617,48.46276082500123,55.074868124644865,8.062104903044347,57.30126652526383,57.98592363231071,81.52179147253506,526553.5711480955
4,257,73,79,92.41,2.827047028985034,0.3646437169461702,2.8504666187137544,24.805969056340174,47.329829478123266,53.43640013373218,10.487181708203272,54.53112299051854,58.62044383743089,80.06247442032034,523093.7105359085
15,274,76,79,96.2,2.2129408251716267,0.339154569102919,2.2387793364810804,25.538054906911505,48.536027086774155,54.84467315789658,8.615372552312701,60.29310040925523,136.40045264908804,149.13195982027676,508749.26102307363
0,277,75,79,94.94,2.56075773363459,0.33578250623458744,2.582678853799392,25.59301489366777,47.247616527100554,53.733971366719636,8.432080453005732,61.336531810412055,56.92681783483212,83.68292970092436,523116.39081843046
5,285,76,79,96.2,2.3326049432498155,0.30306511557256466,2.3522105104668007,25.582411970879278,48.27714913957151,54.63646155537727,9.424742119916118,61.236948420921635,56.592444311642545,83.38266369619633,533920.1736094689
16,292,76,79,96.2,2.4806649739402156,0.3500390839804718,2.5052397237086312,25.663871256735753,48.30516319905696,54.699388292464796,9.737441182828976,61.80935050039687,56.544203076194066,83.77137166599807,533461.9120456664
7,306,74,79,93.67,2.56170462882358,0.3714491873141465,2.5884947564351943,23.774713805787997,47.71783383508621,53.31255651776629,9.989681405570728,53.2543834550701,61.39808169020681,81.275788476132,521494.12447969406
6,310,78,79,98.73,2.8437992681087874,1.3930196203301946,3.166654060664182,26.43679692820859,48.17234228663463,54.94978428714735,9.242753936626723,58.86797509529566,56.46453963539444,81.57010928065121,535133.0195752647
8,334,77,79,97.47,2.923751163995601,0.31571523132030516,2.940747690002198,25.251318828738555,47.59575287522675,53.87935406396649,8.338595222513282,59.33692280370544,55.98190858310191,81.57723025709858,528269.7560827084
12,348,75,79,94.94,2.37384258592714,0.3597155540458594,2.4009422947217556,26.935545609077966,47.76454133510795,54.83589177000731,9.122934806866434,60.480555229171586,75.53591584544817,96.76555246284445,520500.0048324075
13,349,72,79,91.14,3.0643884631996854,0.4367660074919964,3.0953580081618712,25.95863527047191,46.35412358038889,53.12772833475334,10.923258022304989,57.28913965724464,56.86604478997309,80.7204594432075,530490.9249334941
10,363,76,79,96.2,2.141287376113114,0.5611042585447076,2.2135829815162547,23.607603448592105,46.9668785401403,52.56621177515334,9.960631295599608,62.54704315289118,59.45059561391732,86.29313950725839,534781.0779338563
18,364,77,79,97.47,2.3042256694886203,0.29818403787549513,2.323439187147797,25.757797501868467,47.699137791962805,54.20951833621025,7.428635778034455,61.04952104086496,59.362710690828315,85.15265961719572,499997.68017970567
2,385,76,79,96.2,2.363392643487912,0.5075525198194969,2.4172782933845043,25.680093698463786,47.1311856690518,53.67323238759255,11.386224369906673,56.68301410084212,54.44478969526011,78.59516023596726,560169.9647436922
17,395,77,79,97.47,2.9778870968103743,0.6433883264365404,3.046598119205179,24.57391660123953,47.2267578972032,53.23761864138666,9.389959064912016,55.505449674447036,55.09740405340591,78.20856012602995,546774.7254745878
