,Image,Number identified - ensembled,Number identifiable - ensembled,Percentage - ensembled,RMSE_cx - ensembled,RMSE_cy - ensembled,RMSE_c - ensembled,RMSE_sigmax - ensembled,RMSE_sigmay - ensembled,RMSE_sigma - ensembled,MaxE_sigmax - ensembled,MaxE_sigmay - ensembled,MaxE_sigma - ensembled,RMSE_amplitude - ensembled,RMSEPixel - ensembled
18,18,74,78,94.87,0.7130781469535912,0.20389608905213413,0.7416562942452003,2.9765656509651794,4.069370689009812,5.041797385762141,20.2413029089165,48.81450053263405,52.844732998673024,23.700110765352417,502329.32458221004
19,53,76,79,96.2,0.7469666596509595,0.24055497325763553,0.7847457459515752,2.988954073847598,4.205095693401542,5.159135222712655,13.689170582767323,40.09079170275845,42.36348628946948,36.15448148041472,915570.3349091058
16,55,74,79,93.67,1.2404482741551697,0.3335017144910939,1.2844980787930507,3.123789139378198,4.139750271124267,5.186095920301766,13.340469633236223,37.32840960835883,39.64061419711751,34.640299705533096,859222.8511535561
13,70,78,78,100.0,0.7336324240885246,0.1893429704809395,0.7576722867734775,2.8681517254557165,2.951930652243175,4.115846072909848,11.202295518314598,15.689670515309873,19.278412428377894,28.859602654771,834726.5569922286
15,79,71,80,88.75,0.8574712808182385,0.16805180535090564,0.8737839588306535,2.6322741565955137,2.841808815956153,3.8735958206718903,14.628093569329812,19.335251643061625,24.24526917923547,19.62043587011854,196985.69049948678
4,94,75,78,96.15,1.049397385090017,0.18388667955405139,1.0653868699919196,2.476391506962356,2.465597987139221,3.4945226183185976,10.079100223370352,10.253006663588193,14.37749654690719,29.850757107619984,738793.9796197602
6,99,76,79,96.2,0.8840147316923865,0.19715454310874325,0.9057328302085441,2.4619091755022855,3.46939763887208,4.25414113130177,14.221453696170883,35.29326673724174,38.0508136866799,27.446611306427048,663152.7001970455
11,109,74,78,94.87,0.834310810543657,0.13614705262918694,0.8453464074151072,2.2960465823217335,2.044165387017391,3.074157126379729,9.667922733348462,11.788347407418978,15.245781861747785,22.347929788092173,405383.2460267347
8,112,77,79,97.47,0.8495597263557444,0.20362428936896027,0.8736215312517551,2.5062757964784055,3.3365598550551336,4.173014502057116,8.752672925794098,27.86344087333675,29.20583196294641,26.66216710289794,742708.5256131076
5,113,75,79,94.94,4.302700316552722,1.3263836743034758,4.502501933983114,3.1097210507020767,5.055204863799941,5.935104146362236,19.101055318826607,65.83522575709168,68.55018063273138,28.073469364005216,719003.7029827847
1,121,76,78,97.44,0.8466492196434305,0.22533389315786168,0.8761222885696428,2.0488308665975707,3.4884143544555304,4.04558310114801,10.12156241652256,16.040209240138793,18.96666386634708,29.68632133192163,706457.1267154395
14,129,76,79,96.2,0.9273445453643294,0.18539372808663257,0.9456948451962901,2.5346458675662173,3.5726269765595378,4.380421576470859,14.468111966553446,37.43557808643705,40.13413473020756,25.404103737210388,605603.0782271969
12,131,76,80,95.0,0.7153845826355828,0.16690565748763506,0.7345968959736127,2.802051502431057,2.9426692126800327,4.063347722941154,11.82200908610774,14.550671579218369,18.747851669945735,28.451497820267758,613256.4392211317
2,140,78,78,100.0,5.639601336414614,1.3100764793309678,5.789767146905454,3.388267371953382,4.141374912612402,5.350826286720515,23.17259598695359,50.45649027444274,55.52320790074645,24.261270023209065,848837.7960342237
17,148,78,78,100.0,0.9887062516923633,0.19466347246754107,1.00768741167521,3.2840939395589794,3.58188623208174,4.859545450289023,13.965597620582518,47.34014912762076,49.35714372130334,27.298476349238232,711199.9461252511
9,176,77,79,97.47,0.9633368463168337,0.16739476814470908,0.9777724110823969,2.2038939923310314,2.608801296647633,3.415112433701588,10.34265759355234,13.966572242875488,17.379174500330155,23.625866705570246,558647.5864491953
7,184,76,79,96.2,0.8504310908242236,0.1486182814650717,0.863319427457827,2.7522201649260616,3.118239780829102,4.159102687716518,16.138627226349985,17.32735321304713,23.678945460488308,18.538921898324297,386831.6454323585
3,186,75,77,97.4,0.8634676803485554,0.18693789190827392,0.883471680608736,2.4621222783462606,2.433150025578942,3.461540865063388,11.790425804280432,19.116356243759082,22.45994694304839,18.243736229259742,390214.0213971224
0,193,73,79,92.41,0.770825717941353,0.173118746623888,0.7900268273118504,2.961221522018503,2.9381262288705656,4.171500765820708,12.879789352550233,12.402399525131386,17.880393948317963,25.70795171658845,502749.79631311406
10,194,74,78,94.87,0.7449750097298535,0.23664571592909484,0.7816578279462114,2.486751351858933,4.022260675882946,4.728901905382111,10.604425898391172,55.07504663394596,56.086670523091236,28.5264768176585,575287.777223603
