,Image,Number identified - ensembled,Number identifiable - ensembled,Percentage - ensembled,RMSE_cx - ensembled,RMSE_cy - ensembled,RMSE_c - ensembled,RMSE_sigmax - ensembled,RMSE_sigmay - ensembled,RMSE_sigma - ensembled,MaxE_sigmax - ensembled,MaxE_sigmay - ensembled,MaxE_sigma - ensembled,RMSE_amplitude - ensembled,RMSEPixel - ensembled
14,203,79,79,100.0,2.0306982790047785,0.0779553600627795,2.032194020883707,8.066159980332815,2.083550257077299,8.330913425434787,47.831288495774,11.853090165566197,49.27806718651822,12.845774910254423,383851.18526683137
1,204,80,79,101.27,1.9888244391240195,0.07651512926415448,1.9902957606002383,4.783453701371383,2.403179298694368,5.353195312599452,34.052733793100806,84.76581840324931,91.35005554654266,12.232616816601114,345991.4323445753
3,217,79,79,100.0,2.0430057409567826,0.11411575611978575,2.0461903292160195,6.780477226429178,1.7919194358595316,7.013262199770936,55.03822652465274,15.434454948524415,57.16142736616204,13.270800557403902,372673.09324390604
19,239,79,79,100.0,2.0317391543245846,0.048840984034780974,2.0323261138255013,5.2178750438189825,1.2393041230423154,5.36303036373081,46.67665633617393,4.704343623066077,46.913122851172126,11.947302683462894,366398.27404948184
9,241,80,79,101.27,2.5291637824802287,0.11340293029603776,2.531704892598943,7.9119202668857564,3.5697023395599983,8.679934164647662,49.1357065431146,84.97633426658606,98.15953872588055,12.272490532131703,331019.8590677929
11,253,80,79,101.27,2.048497368578735,0.08487740147108118,2.050255018858504,7.325497100949412,2.6532389109783967,7.791186334233578,49.57019455205111,84.50338486301672,97.96951689803988,9.764500450652617,258362.7451003144
4,257,79,79,100.0,2.3903357786102863,0.0648331701630483,2.391214853261378,6.290121462355157,2.1556870211246957,6.6492566911066415,41.91966847440548,36.2312935230361,55.4072669904992,13.351404740245778,389621.00100182084
15,274,79,79,100.0,2.2599169430119184,0.12327583765032923,2.263276722246028,7.94770372534053,2.614591115961591,8.366724640470547,54.22223120280877,22.78677122432928,58.81570623091055,9.79865184413032,277642.31645665003
0,277,81,79,102.53,2.164173593564297,0.09689000989736528,2.1663413897857637,7.230301650102815,2.9291653258269665,7.801107066148143,53.66194842953674,85.02111905714729,100.53952155736506,10.139240887476134,277736.47353585606
5,285,80,79,101.27,1.9258219757672963,0.09741758916246354,1.928284333034545,6.790611138535642,2.3788630595532894,7.195233775973618,48.2676210467791,84.86497785185584,97.63107961766814,12.059578297047825,325121.84563307004
16,292,79,79,100.0,2.0710975418445283,0.10261743250792195,2.073638195367978,6.123145686819683,1.9420483336121421,6.423742276282898,47.6224668772941,22.213517235023172,52.54845097079119,11.920807861898247,332729.3019855478
7,306,79,79,100.0,1.903979827210525,0.07690052307306473,1.9055321757644323,6.417327027531412,1.8756067348578307,6.6858048731719055,50.67758155065869,13.620732738286852,52.47610534473286,12.90744372126601,369504.37090163707
6,310,80,79,101.27,2.011195418585691,0.09643626151870512,2.0135061371338745,7.757791161966063,2.869535330183476,8.271490598667809,44.603981693407555,84.24441017078608,95.32384711041347,11.331560119829184,282929.65659159434
8,334,79,79,100.0,1.827051931739013,0.0892124721733569,1.829228697146024,7.788965674266454,2.606277575992875,8.21344441011348,49.39325900791913,27.453711243477468,56.51017869785606,10.621926873680879,308282.5868448686
12,348,79,79,100.0,2.1624599327659535,0.0769913239744222,2.1638300822350787,7.248938826483872,1.992306310275879,7.517738924974082,54.1202725356939,15.88522394915495,56.40340627349194,10.837556349249528,317735.5387134328
13,349,79,79,100.0,2.08829943230876,0.1376441987463531,2.092830725221133,8.372577288513973,2.067531566212391,8.624078920639853,51.94889081549007,13.156695998282276,53.58904651653102,13.323824890181172,372285.9139733893
10,363,79,79,100.0,2.467185753013525,0.06368813150529237,2.4680076413916447,6.411238174652173,1.3051970816486524,6.542745169579928,49.52072187349736,8.99554238868776,50.33112037039269,11.291657429460873,321987.3978610932
18,364,80,79,101.27,1.9892940752924475,0.09477990637432075,1.9915506894492943,7.388757659710514,2.5827078974569853,7.82713995259555,45.70978149772031,84.53688264107629,96.1034268444182,9.47296167676989,277792.03595829254
2,385,79,79,100.0,2.229294625454259,0.06681993440067294,2.230295816862094,6.2367252084407285,1.3631409604403522,6.383956030834665,50.07131212952327,7.931349589231981,50.695587625342256,13.664850796074818,389800.1409389242
17,395,79,79,100.0,1.8628732093008589,0.10123511297625916,1.8656219182970053,7.920288550564349,2.1569863205287247,8.208749034484411,56.23012440009396,23.006333931184855,60.754574239337984,11.196362279891167,308399.62448511785
