,Image,Number identified - gmm,Number identifiable - gmm,Percentage - gmm,RMSE_cx - gmm,RMSE_cy - gmm,RMSE_c - gmm,RMSE_sigmax - gmm,RMSE_sigmay - gmm,RMSE_sigma - gmm,RMSE_amplitude - gmm,MaxE_sigmax - gmm,MaxE_sigmay - gmm,MaxE_sigma - gmm,RMSEPixel - gmm
18,18,65,78,83.33,1.629032959159389,0.36835817223805073,1.6701605087781692,18.179371232134216,39.307956033523716,43.30825493978235,18.838063906141837,170.39166412783345,53.25732419108924,178.52076009318128,330350.68842290627
19,53,62,79,78.48,1.7423887377970233,0.42601975814181264,1.7937143997663376,14.29419258924607,39.7759649848527,42.266432689010855,25.854743229078895,39.05071186579702,59.35410459654196,71.04834853592828,337261.6574892867
16,55,59,79,74.68,1.2782337679750986,0.5576529270724848,1.3945817841433066,14.537999435892054,35.132387306823745,38.021547384011974,28.421759605856117,39.72864149729172,53.97654059934911,67.02113017767986,344357.50946143316
13,70,65,78,83.33,1.5165509935604333,0.36623407826207993,1.5601456073551638,17.975214286408878,41.67876310348376,45.38973036358155,20.247684461627582,86.69130291286903,151.9457858690999,174.93685673439194,337009.3073791286
15,79,68,80,85.0,1.5000570489829799,0.3130651575233573,1.5323775458608921,14.886591750753638,40.34556923286929,43.00436687916537,17.385840158765607,39.99245060833558,51.314365161488794,65.05812921985058,320626.71043876547
4,94,63,78,80.77,1.484559715836215,0.4665264431880449,1.5561376777385063,17.878655900775378,39.93378523825028,43.7533260481192,22.642762912742917,178.17214246292951,101.26598204095095,204.93928727442344,350032.7531551154
6,99,67,79,84.81,1.3243152831785692,0.34482532707983216,1.368471949093604,14.525688087931105,39.84058857008912,42.40599146393089,20.175151397672153,44.09050040054359,52.89186970548676,68.85871118829137,340120.97979500866
11,109,67,78,85.9,2.2049886561145358,0.3969452434810383,2.240433105432074,17.584836876514906,38.708173997933514,42.51528221978462,21.905880637031412,101.08115977884245,80.74105713938108,129.36969958309666,352236.9228043289
8,112,67,79,84.81,1.201157103921356,0.3009480142912091,1.238284335524988,14.83244437346109,38.21654421928064,40.993970997648546,19.326476728715917,42.34365060951048,56.70344953551821,70.76910297698677,339451.47290337743
5,113,64,79,81.01,1.5251818330384457,0.3753667188128749,1.5706940495917265,15.607442518397571,38.21633203526952,41.28050746048371,23.077634389484224,41.90325511993192,51.32131345908858,66.2552639781333,399508.3459912549
1,121,65,78,83.33,1.8872681485174945,0.34308865649813974,1.9181999089319002,15.469572487094837,40.09760631049734,42.97820034348946,20.57735522433492,38.85176952425542,99.6109830269528,106.91963306503507,340437.86385985883
14,129,66,79,83.54,1.6154076340660537,0.3458808878654727,1.652021613899011,14.172176999855408,38.284715397680124,40.82364552556026,20.095359539095774,35.90838608130203,53.945711374466235,64.80395023963479,322781.9168935791
12,131,64,80,80.0,1.3852382055609038,0.4460062088330186,1.4552685059682955,15.860449305522515,36.88806562939699,40.1532469179237,22.987823647270673,35.00699562155479,54.060907135740386,64.40552323199232,317086.796330367
2,140,66,78,84.62,1.4965403669896724,0.3729476711908101,1.542310939945714,15.867049542126088,39.74188477414119,42.79229681348501,17.385897990578588,62.77894612816102,60.972403086063174,87.514741701338,342588.3204704736
17,148,66,78,84.62,1.4514071894958103,0.3792333171632149,1.5001335735749475,14.911571282830966,38.961662295174506,41.71769512959905,21.656253898336146,46.37656029349739,59.14378650224628,75.15831841173463,344575.29519801034
9,176,68,79,86.08,1.26546387282667,0.35084888974695205,1.3131998160471023,17.599115914849996,38.72416371910708,42.53574657542213,18.022927921056848,40.34205022913036,51.071163489972534,65.08259949409812,323529.3911434839
7,184,69,79,87.34,1.8275405710411936,0.3020078637470001,1.8523264530224144,15.102147706644198,40.300826454296896,43.0375589253463,15.776209907230482,44.031678235693796,128.66438555220293,135.9901202212043,333700.7177889818
3,186,67,77,87.01,1.8635797186050198,0.5618419729874444,1.9464315477833762,19.991244642837994,40.023554545648146,44.73851563069869,18.34858009950764,261.4102289350191,229.0548953728955,347.56503403844755,357919.049366345
0,193,66,79,83.54,1.3660414155131206,0.3277818980277725,1.4048167572931993,15.313235659936042,38.71380313147572,41.63236408468052,21.576217719787472,41.38541746595724,48.61919476012332,63.848092202934005,319736.747475177
10,194,65,78,83.33,2.806140342143677,0.3835605346791493,2.8322327417727498,21.88961886140794,39.754180312647286,45.382268191752814,21.9152644420466,360.07346784604084,79.51313974992338,368.74820899845014,352542.0742368899
