                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.93553,                0.43999,                0.94827,                0.99982,                0.99984,                  0.995,                0.81462,                0.77112,                0.35264,                0.92363,              0.0016733,              0.0016733,              0.0016733
                     35,                0.86002,                0.41203,                0.93428,                0.99997,                      1,                  0.995,                0.81535,                 0.8313,                0.36032,                0.92811,              0.0016634,              0.0016634,              0.0016634
                     36,                0.94553,                0.43416,                  0.957,                0.99988,                      1,                  0.995,                 0.7972,                0.87866,                0.39437,                0.95894,              0.0016535,              0.0016535,              0.0016535
                     37,                0.88469,                 0.4172,                0.92968,                0.99998,                      1,                  0.995,                0.82662,                0.76009,                0.34594,                0.91113,              0.0016436,              0.0016436,              0.0016436
                     38,                0.87611,                0.41448,                0.93487,                0.99999,                      1,                  0.995,                0.80809,                0.81648,                0.35158,                0.92496,              0.0016337,              0.0016337,              0.0016337
                     39,                0.86142,                0.40933,                0.93865,                0.99983,                      1,                  0.995,                0.81224,                0.83487,                0.35025,                0.92869,              0.0016238,              0.0016238,              0.0016238
                     40,                0.87546,                0.40631,                0.92826,                0.99996,                      1,                  0.995,                0.81896,                0.82188,                0.35061,                0.93155,              0.0016139,              0.0016139,              0.0016139
                     41,                0.86143,                0.40148,                0.91229,                0.99999,                      1,                  0.995,                 0.8259,                0.79016,                0.35441,                 0.9104,               0.001604,               0.001604,               0.001604
                     42,                 0.8498,                0.40482,                0.90673,                0.99998,                      1,                  0.995,                0.83072,                0.73151,                0.33443,                0.90539,              0.0015941,              0.0015941,              0.0015941
                     43,                0.86818,                0.40611,                0.92327,                      1,                      1,                  0.995,                0.81711,                0.79734,                0.33681,                0.92128,              0.0015842,              0.0015842,              0.0015842
                     44,                0.86949,                0.40508,                0.92253,                0.99998,                      1,                  0.995,                0.76525,                0.94903,                0.37659,                0.96724,              0.0015743,              0.0015743,              0.0015743
                     45,                0.99616,                0.43901,                 0.9557,                0.99999,                      1,                  0.995,                0.78118,                 0.8641,                0.35847,                0.94752,              0.0015644,              0.0015644,              0.0015644
                     46,                0.89265,                0.40551,                 0.9354,                0.99997,                      1,                  0.995,                0.76194,                0.99974,                0.37935,                0.98519,              0.0015545,              0.0015545,              0.0015545
                     47,                0.86951,                0.39733,                0.93038,                0.99978,                0.99984,                0.99497,                0.74701,                 1.0282,                0.39033,                 1.0108,              0.0015446,              0.0015446,              0.0015446
                     48,                0.84234,                0.39322,                0.92126,                0.99962,                0.99953,                  0.995,                0.78769,                0.93397,                0.36788,                0.97296,              0.0015347,              0.0015347,              0.0015347
                     49,                0.79391,                0.37597,                0.90652,                0.99996,                      1,                  0.995,                0.83198,                0.76687,                0.32884,                0.91137,              0.0015248,              0.0015248,              0.0015248
                     50,                0.75792,                 0.3642,                0.90576,                      1,                      1,                  0.995,                0.82691,                 0.7668,                 0.3226,                0.90085,              0.0015149,              0.0015149,              0.0015149
                     51,                 0.8566,                0.38752,                0.91596,                0.99999,                      1,                  0.995,                 0.8019,                0.85443,                0.34397,                0.93493,               0.001505,               0.001505,               0.001505
                     52,                0.92782,                0.40565,                0.93611,                0.99997,                0.99984,                  0.995,                0.81606,                0.80249,                0.33246,                0.91716,              0.0014951,              0.0014951,              0.0014951
                     53,                0.86688,                0.38939,                 0.9272,                0.99999,                      1,                  0.995,                0.83157,                0.76898,                0.32187,                  0.915,              0.0014852,              0.0014852,              0.0014852
                     54,                0.81358,                0.37689,                0.91964,                0.99998,                      1,                  0.995,                0.79292,                0.88075,                 0.3429,                0.93984,              0.0014753,              0.0014753,              0.0014753
                     55,                0.80116,                0.37168,                0.91173,                0.99999,                      1,                  0.995,                0.85162,                0.70126,                 0.3071,                0.89454,              0.0014654,              0.0014654,              0.0014654
                     56,                 0.7823,                0.37331,                0.90047,                0.99998,                      1,                  0.995,                0.83815,                0.74747,                0.31157,                0.89986,              0.0014555,              0.0014555,              0.0014555
                     57,                0.82293,                0.37227,                0.91404,                0.99997,                      1,                  0.995,                0.86572,                0.65231,                 0.2927,                0.87307,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.0172,                0.41793,                0.95775,                0.99999,                      1,                  0.995,                0.80573,                0.88626,                0.34718,                0.95186,              0.0014357,              0.0014357,              0.0014357
                     59,                 0.9018,                0.40488,                0.92886,                0.99998,                      1,                  0.995,                0.85184,                0.71488,                0.32226,                 0.9002,              0.0014258,              0.0014258,              0.0014258
                     60,                0.83325,                0.38882,                0.92067,                0.99998,                      1,                  0.995,                0.86891,                0.66686,                 0.3063,                0.87845,              0.0014159,              0.0014159,              0.0014159
                     61,                 0.7753,                0.37592,                0.90016,                0.99999,                      1,                  0.995,                0.87092,                0.63838,                0.30974,                 0.8768,               0.001406,               0.001406,               0.001406
                     62,                0.73632,                0.36944,                0.89536,                0.99983,                      1,                0.99498,                0.83977,                0.76134,                0.33613,                0.91149,              0.0013961,              0.0013961,              0.0013961
                     63,                0.82199,                0.38447,                0.90755,                0.99998,                      1,                  0.995,                0.85982,                0.66257,                0.31284,                0.87528,              0.0013862,              0.0013862,              0.0013862
                     64,                0.76084,                0.37965,                0.90866,                0.99999,                      1,                  0.995,                0.84415,                0.69595,                0.30528,                0.88248,              0.0013763,              0.0013763,              0.0013763
                     65,                0.74433,                 0.3632,                0.89063,                0.99998,                      1,                  0.995,                0.86809,                 0.6221,                0.28455,                0.86254,              0.0013664,              0.0013664,              0.0013664
                     66,                0.70133,                0.34869,                0.87892,                0.99999,                      1,                  0.995,                0.88107,                0.59349,                0.27685,                0.85917,              0.0013565,              0.0013565,              0.0013565
                     67,                 0.6718,                0.33542,                 0.8818,                0.99999,                      1,                  0.995,                 0.8515,                 0.6917,                0.29192,                0.88398,              0.0013466,              0.0013466,              0.0013466
                     68,                 0.7066,                0.34753,                0.88354,                0.99999,                      1,                  0.995,                 0.8682,                 0.6392,                0.27956,                0.86548,              0.0013367,              0.0013367,              0.0013367
                     69,                0.66324,                0.33024,                0.88268,                0.99984,                      1,                  0.995,                0.88402,                0.58304,                0.26823,                 0.8513,              0.0013268,              0.0013268,              0.0013268
                     70,                0.72205,                0.33987,                0.88778,                0.99997,                      1,                  0.995,                0.82603,                0.80568,                0.31456,                0.91392,              0.0013169,              0.0013169,              0.0013169
                     71,                0.73153,                0.34712,                0.89259,                0.99998,                      1,                  0.995,                0.88809,                0.60428,                0.27467,                0.86154,               0.001307,               0.001307,               0.001307
                     72,                 0.6715,                0.33629,                0.87455,                0.99997,                      1,                  0.995,                 0.8777,                0.63854,                0.27967,                0.86902,              0.0012971,              0.0012971,              0.0012971
                     73,                0.67123,                0.33227,                0.86908,                0.99998,                      1,                  0.995,                0.87602,                  0.628,                0.27958,                0.86744,              0.0012872,              0.0012872,              0.0012872
                     74,                0.65231,                0.32472,                0.86982,                0.99999,                      1,                  0.995,                0.88653,                0.61352,                0.27044,                0.86154,              0.0012773,              0.0012773,              0.0012773
                     75,                0.65783,                0.32333,                0.86743,                      1,                      1,                  0.995,                0.89522,                 0.5559,                0.25725,                0.84069,              0.0012674,              0.0012674,              0.0012674
                     76,                0.66911,                0.32333,                0.87227,                0.99996,                      1,                  0.995,                0.90039,                 0.5317,                0.25182,                0.83827,              0.0012575,              0.0012575,              0.0012575
                     77,                0.63629,                0.31754,                0.86401,                0.99999,                      1,                  0.995,                0.91161,                0.50399,                0.24531,                0.83259,              0.0012476,              0.0012476,              0.0012476
                     78,                0.63628,                 0.3144,                0.86663,                0.99999,                      1,                  0.995,                0.82569,                0.79625,                0.30607,                0.90216,              0.0012377,              0.0012377,              0.0012377
                     79,                0.67054,                0.32181,                0.87547,                0.99999,                      1,                  0.995,                0.85752,                0.70208,                0.28278,                0.87735,              0.0012278,              0.0012278,              0.0012278
                     80,                0.64449,                0.31288,                0.86192,                0.99999,                      1,                  0.995,                0.87438,                0.62663,                0.27146,                0.85987,              0.0012179,              0.0012179,              0.0012179
                     81,                 0.6581,                0.32261,                0.88605,                0.99999,                      1,                  0.995,                0.86053,                0.68233,                0.28379,                0.87962,               0.001208,               0.001208,               0.001208
                     82,                0.63849,                0.31563,                0.86284,                0.99996,                      1,                  0.995,                0.88996,                0.58558,                0.26483,                0.85992,              0.0011981,              0.0011981,              0.0011981
                     83,                0.66289,                0.32166,                0.87732,                0.99998,                      1,                  0.995,                0.88693,                0.58646,                0.26091,                0.85355,              0.0011882,              0.0011882,              0.0011882
                     84,                0.66412,                0.32001,                0.87071,                0.99998,                      1,                  0.995,                0.88343,                 0.5865,                0.26096,                0.85009,              0.0011783,              0.0011783,              0.0011783
                     85,                0.64525,                0.31886,                0.87301,                0.99999,                      1,                  0.995,                0.88241,                0.60947,                0.26495,                0.86724,              0.0011684,              0.0011684,              0.0011684
                     86,                0.62633,                0.31594,                0.85379,                0.99998,                      1,                  0.995,                0.90282,                0.54336,                0.24382,                0.84613,              0.0011585,              0.0011585,              0.0011585
                     87,                0.61817,                0.31158,                 0.8664,                0.99999,                      1,                  0.995,                0.90509,                0.52098,                0.25106,                0.83573,              0.0011486,              0.0011486,              0.0011486
                     88,                 0.6441,                0.32122,                0.86143,                0.99999,                      1,                  0.995,                 0.9018,                0.54354,                0.25475,                0.84347,              0.0011387,              0.0011387,              0.0011387
                     89,                0.61507,                0.31477,                0.85529,                0.99999,                      1,                  0.995,                0.89932,                0.55392,                0.25362,                 0.8463,              0.0011288,              0.0011288,              0.0011288
                     90,                0.63955,                0.32086,                0.85904,                0.99998,                      1,                  0.995,                0.90394,                0.51885,                0.24609,                0.83562,              0.0011189,              0.0011189,              0.0011189
                     91,                0.59919,                0.30916,                0.85482,                0.99999,                      1,                  0.995,                0.88496,                0.59127,                0.26279,                 0.8491,               0.001109,               0.001109,               0.001109
                     92,                0.70242,                 0.3326,                0.89198,                0.99998,                      1,                  0.995,                0.82061,                0.81134,                0.31225,                0.91081,              0.0010991,              0.0010991,              0.0010991
                     93,                0.74434,                 0.3412,                0.90009,                0.99998,                      1,                  0.995,                0.87968,                0.58136,                0.26303,                0.85351,              0.0010892,              0.0010892,              0.0010892
                     94,                0.66653,                0.32563,                0.86509,                0.99999,                      1,                  0.995,                0.91585,                0.49711,                0.23979,                0.83076,              0.0010793,              0.0010793,              0.0010793
                     95,                0.62487,                0.30997,                0.86179,                0.99999,                      1,                  0.995,                  0.888,                0.57371,                0.25495,                0.84587,              0.0010694,              0.0010694,              0.0010694
                     96,                0.59258,                0.30817,                0.85763,                0.99999,                      1,                  0.995,                0.92717,                0.47311,                0.23165,                0.82474,              0.0010595,              0.0010595,              0.0010595
                     97,                0.58284,                0.30116,                0.85747,                0.99998,                      1,                  0.995,                 0.9052,                0.51257,                0.23599,                0.83109,              0.0010496,              0.0010496,              0.0010496
                     98,                0.60176,                0.30644,                0.85529,                0.99999,                      1,                  0.995,                0.88575,                0.59225,                0.25667,                0.84468,              0.0010397,              0.0010397,              0.0010397
                     99,                0.61904,                0.30546,                0.85839,                0.99997,                      1,                  0.995,                0.92104,                0.47807,                 0.2314,                0.82721,              0.0010298,              0.0010298,              0.0010298
                    100,                0.57319,                0.29559,                 0.8512,                0.99998,                      1,                  0.995,                0.89559,                 0.5566,                0.24922,                0.84278,              0.0010199,              0.0010199,              0.0010199
                    101,                0.57215,                0.29445,                  0.855,                0.99999,                      1,                  0.995,                0.91128,                0.49243,                 0.2334,                0.82501,                0.00101,                0.00101,                0.00101
                    102,                0.56538,                0.29178,                 0.8433,                0.99999,                      1,                  0.995,                0.91021,                0.51177,                0.23522,                0.82778,              0.0010001,              0.0010001,              0.0010001
                    103,                0.57526,                0.29273,                 0.8528,                0.99999,                      1,                  0.995,                0.90371,                0.55346,                0.24814,                 0.8453,              0.0009902,              0.0009902,              0.0009902
                    104,                0.57514,                0.29516,                0.85312,                0.99998,                      1,                  0.995,                0.91444,                0.48742,                0.22912,                0.82471,              0.0009803,              0.0009803,              0.0009803
