                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6368,                 3.4674,                 3.1671,                0.01892,                 0.0745,                0.01129,                0.00276,                 3.3856,                    inf,                 3.2664,                  6e-05,                  6e-05,                  6e-05
                      1,                 3.6366,                 3.5697,                 3.1444,                0.01983,                0.07811,                0.01155,                0.00276,                 3.3754,                    inf,                 3.2635,             0.00013861,             0.00013861,             0.00013861
                      2,                 3.2392,                  2.467,                 2.6783,                0.01171,                0.00591,                0.00655,                0.00114,                 5.5501,                 5.8824,                 6.5153,             0.00021564,             0.00021564,             0.00021564
                      3,                 2.3777,                 1.5671,                 2.0177,                0.00189,                0.00098,                0.00096,                 0.0001,                 6.3223,                 6.2253,                 16.276,             0.00029109,             0.00029109,             0.00029109
                      4,                 2.0394,                 1.3968,                 1.8491,                0.01373,                0.00853,                0.00695,                0.00267,                 6.4145,                 8.4104,                 30.559,             0.00036495,             0.00036495,             0.00036495
                      5,                 1.9325,                 1.3158,                 1.7736,                 0.0346,                0.02888,                 0.0178,                0.00787,                 5.7634,                    inf,                  97.91,             0.00043723,             0.00043723,             0.00043723
                      6,                 1.7169,                 1.2057,                 1.6936,                0.06577,                0.06892,                0.03647,                0.01808,                 3.7649,                 9.9253,                 52.931,             0.00050792,             0.00050792,             0.00050792
                      7,                 1.7646,                 1.1093,                 1.7168,                0.55938,                0.08467,                0.13725,                0.05614,                 3.4201,                 2.4916,                  12.22,             0.00057703,             0.00057703,             0.00057703
                      8,                 1.6965,                 1.0572,                 1.6385,                0.40011,                 0.2189,                0.24185,                0.08391,                 3.1814,                 2.2671,                 4.5341,             0.00064456,             0.00064456,             0.00064456
                      9,                 1.5608,                0.96754,                 1.5859,                0.57194,                0.40913,                0.44792,                0.18435,                 2.5555,                 2.1944,                 2.7739,              0.0007105,              0.0007105,              0.0007105
                     10,                 1.5326,                0.93444,                 1.5194,                0.64985,                 0.6705,                0.70994,                0.36954,                 1.7531,                    inf,                 2.1349,             0.00077486,             0.00077486,             0.00077486
                     11,                 1.3615,                0.87111,                 1.4362,                0.78817,                0.78963,                0.85033,                0.43302,                 1.7065,                 1.8665,                 2.0722,             0.00083763,             0.00083763,             0.00083763
                     12,                 1.2698,                0.81176,                 1.3889,                0.72273,                0.83426,                0.86247,                0.46593,                  1.599,                    inf,                 1.9479,             0.00089882,             0.00089882,             0.00089882
                     13,                 1.2611,                0.74006,                  1.373,                0.72301,                0.82048,                0.83776,                0.39619,                  1.988,                    inf,                 2.4405,             0.00095843,             0.00095843,             0.00095843
                     14,                 1.2982,                0.73063,                 1.3632,                0.78889,                0.83273,                0.86422,                0.44434,                  1.761,                 2.0265,                 2.0962,              0.0010165,              0.0010165,              0.0010165
                     15,                 1.2813,                0.73349,                 1.3806,                0.80955,                0.92583,                0.93664,                0.56596,                 1.5151,                    inf,                 1.8564,              0.0010729,              0.0010729,              0.0010729
                     16,                 1.2153,                0.70083,                 1.3175,                0.89087,                0.87266,                0.94043,                0.55914,                 1.5417,                 1.1137,                 1.8812,              0.0011277,              0.0011277,              0.0011277
                     17,                 1.1401,                0.67941,                 1.2534,                0.88926,                0.92508,                0.96018,                0.57882,                 1.5248,                 1.6422,                 1.8483,               0.001181,               0.001181,               0.001181
                     18,                 1.2484,                0.69201,                 1.3798,                 0.9068,                0.93863,                0.96747,                0.64295,                 1.2374,                 1.5431,                  1.549,              0.0012327,              0.0012327,              0.0012327
                     19,                 1.2707,                0.66857,                 1.3367,                0.83148,                0.84083,                0.90361,                0.43383,                 2.0342,                 2.1436,                 2.5125,              0.0012828,              0.0012828,              0.0012828
                     20,                 1.1751,                0.68707,                 1.3047,                0.90105,                0.91073,                0.95768,                0.62602,                 1.2822,                 1.2775,                  1.618,              0.0013313,              0.0013313,              0.0013313
                     21,                 1.2256,                0.65582,                 1.3057,                0.94829,                0.96784,                0.98573,                0.66327,                 1.2321,                 1.2514,                 1.5915,              0.0013783,              0.0013783,              0.0013783
                     22,                 1.1263,                0.64279,                 1.2704,                 0.7126,                0.87036,                0.83365,                0.36199,                 1.9562,                 1.9791,                 2.3446,              0.0014236,              0.0014236,              0.0014236
                     23,                 1.2228,                0.68351,                 1.3214,                0.75455,                0.89491,                0.83235,                0.37971,                 1.8209,                 1.5786,                 2.1322,              0.0014674,              0.0014674,              0.0014674
                     24,                  1.122,                0.63117,                 1.2727,                 0.8656,                0.94322,                0.95111,                0.57911,                 1.4973,                 1.3879,                 1.7987,              0.0015096,              0.0015096,              0.0015096
                     25,                 1.0647,                0.59838,                 1.2263,                 0.9581,                0.97571,                0.98974,                0.68808,                 1.1787,                 1.0833,                 1.4824,               0.001505,               0.001505,               0.001505
                     26,                 1.0759,                0.61747,                 1.2531,                0.97829,                0.97801,                0.99234,                0.67442,                 1.2906,                0.88895,                 1.6059,               0.001505,               0.001505,               0.001505
                     27,                 1.0351,                0.57544,                 1.2213,                 0.9744,                0.98667,                0.99305,                0.70706,                  1.257,                0.72702,                 1.5949,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0422,                0.58613,                 1.2353,                0.98003,                0.98241,                0.99195,                0.76128,                 1.0172,                 0.6305,                 1.3864,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0204,                0.58657,                 1.2012,                0.97133,                0.98884,                0.99349,                0.70626,                 1.1321,                0.67339,                  1.478,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0447,                0.56895,                 1.1951,                0.97501,                0.98819,                0.99347,                0.65083,                 1.4159,                0.79069,                 1.6837,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.0432,                0.56326,                 1.2173,                0.95953,                0.99114,                0.98866,                0.61811,                 1.4637,                 0.8082,                 1.7192,               0.001406,               0.001406,               0.001406
                     32,                 1.0676,                0.56856,                 1.2253,                0.96533,                0.98679,                0.99066,                0.76921,                0.95851,                 0.5851,                 1.2767,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0021,                 0.5509,                 1.1935,                0.96588,                 0.9941,                0.99122,                0.76311,                0.93245,                0.52498,                 1.2812,              0.0013664,              0.0013664,              0.0013664
                     34,                0.94682,                0.52545,                 1.1583,                0.98298,                0.99048,                 0.9945,                 0.7707,                0.96898,                0.51928,                 1.2897,              0.0013466,              0.0013466,              0.0013466
                     35,                 0.9552,                0.51882,                 1.1724,                0.99201,                0.99344,                0.99491,                0.75096,                 1.0331,                0.51004,                 1.3238,              0.0013268,              0.0013268,              0.0013268
                     36,                0.92452,                0.51703,                 1.1641,                0.99244,                0.99058,                0.99472,                0.77599,                0.92826,                0.49608,                 1.2583,               0.001307,               0.001307,               0.001307
                     37,                 1.0034,                0.52136,                 1.1845,                0.97942,                0.99409,                0.99234,                0.79323,                0.92885,                0.49444,                 1.2895,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.031,                0.53352,                 1.2244,                0.98563,                0.99046,                0.99378,                0.81108,                0.85835,                0.46087,                  1.224,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.9003,                0.51219,                 1.1379,                0.98934,                0.99344,                0.99474,                 0.7991,                0.85557,                0.44638,                 1.2243,              0.0012476,              0.0012476,              0.0012476
                     40,                0.91875,                0.49466,                 1.1384,                0.98951,                0.99212,                0.99472,                0.79969,                0.92934,                 0.4972,                 1.2633,              0.0012278,              0.0012278,              0.0012278
                     41,                0.90439,                0.49822,                  1.147,                0.99315,                0.99015,                0.99476,                0.78365,                0.93339,                0.49767,                 1.2576,               0.001208,               0.001208,               0.001208
                     42,                 0.9422,                 0.5057,                  1.146,                 0.9862,                0.98505,                0.99428,                0.77824,                0.93494,                0.49921,                 1.2849,              0.0011882,              0.0011882,              0.0011882
                     43,                0.87913,                0.49903,                 1.1231,                0.98381,                0.99278,                0.99429,                0.81604,                0.87014,                0.47069,                 1.2228,              0.0011684,              0.0011684,              0.0011684
