                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7873,                 5.2819,                 3.3233,                 3.0826,                0.11641,                0.29533,                0.11341,                0.03828,                0.00401,                0.01016,                0.00204,                0.00036,                 3.3833,                 4.1266,                 2.9558,                 2.8112,                  8e-05,                  8e-05,                  8e-05
                      1,                 3.3188,                 3.2888,                 3.1811,                 2.6917,                0.16647,                0.39441,                0.23238,                0.07911,                0.00067,                0.00159,                0.00035,                  4e-05,                 2.9938,                  2.105,                  2.963,                 2.4975,              0.0001206,              0.0001206,              0.0001206
                      2,                 2.7957,                 2.5726,                 2.8953,                 2.2757,                0.19617,                 0.4322,                0.29258,                0.10713,                      0,                      0,                      0,                      0,                 2.6373,                 1.8435,                 2.9077,                 2.2354,               9.52e-05,               9.52e-05,               9.52e-05
