                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3662,                 5.3244,                 3.2687,                 2.8433,                0.16876,                0.38815,                 0.1818,                0.10818,                0.00193,                0.00444,                0.00098,                0.00017,                 2.0177,                 4.9267,                 2.8452,                  2.099,                  8e-05,                  8e-05,                  8e-05
                      1,                 2.9381,                 3.1942,                 3.1396,                 2.5181,                0.23129,                 0.4398,                 0.2924,                0.15506,                0.00033,                0.00063,                 0.0002,                  4e-05,                 1.7017,                 1.9528,                  2.863,                 1.7477,              0.0001206,              0.0001206,              0.0001206
                      2,                 2.3998,                 2.4239,                 2.8778,                 2.1505,                0.27412,                0.43663,                0.32704,                0.18597,                 0.0006,                0.00095,                 0.0003,                  3e-05,                 1.4776,                 1.3261,                 2.8399,                 1.5944,               9.52e-05,               9.52e-05,               9.52e-05
