                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7702,                 5.2559,                 3.3223,                 3.0733,                0.10911,                 0.3007,                0.11476,                0.03979,                 0.0054,                0.01489,                0.00278,                0.00041,                 3.3969,                 3.9053,                  2.957,                 2.7914,                  8e-05,                  8e-05,                  8e-05
                      1,                 3.2817,                 3.2298,                 3.1884,                 2.6638,                0.15587,                0.38657,                0.23145,                0.07959,                0.00153,                 0.0038,                0.00077,                0.00012,                 2.9478,                 2.1549,                 2.9369,                 2.4534,              0.0001206,              0.0001206,              0.0001206
                      2,                 2.7513,                 2.5613,                 2.8849,                 2.2381,                0.18682,                 0.4097,                0.26267,                0.09727,                0.00101,                0.00222,                0.00051,                  7e-05,                 2.5581,                 1.8926,                 2.9128,                  2.184,               9.52e-05,               9.52e-05,               9.52e-05
