                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6892,                  3.616,                 3.2475,                0.01635,                0.06203,                   0.01,                0.00271,                 3.5391,                    inf,                 3.4064,                  6e-05,                  6e-05,                  6e-05
                      1,                 3.6979,                 3.7376,                 3.2328,                0.01575,                0.05981,                 0.0094,                0.00253,                 3.5247,                    inf,                 3.4028,             0.00013861,             0.00013861,             0.00013861
                      2,                 3.2193,                 2.4577,                 2.6841,                 0.0511,                0.02722,                0.03102,                0.00727,                 4.7293,                 5.7464,                 5.8096,             0.00021564,             0.00021564,             0.00021564
                      3,                 2.2744,                 1.4823,                 1.9037,                 0.0044,                0.00158,                0.00718,                0.00089,                 6.1576,                 7.0306,                 17.039,             0.00029109,             0.00029109,             0.00029109
                      4,                 1.9456,                 1.3073,                 1.7514,                0.14681,                0.00285,                0.00852,                 0.0027,                 6.3572,                 5.4977,                 17.764,             0.00036495,             0.00036495,             0.00036495
                      5,                 1.7682,                 1.1691,                 1.6174,                0.06152,                0.02468,                0.03876,                0.01142,                 5.5033,                 5.7759,                 14.373,             0.00043723,             0.00043723,             0.00043723
                      6,                 1.5123,                 0.9929,                 1.4677,                0.06613,                0.05696,                0.04247,                0.00999,                  4.528,                 3.2474,                 5.0276,             0.00050792,             0.00050792,             0.00050792
                      7,                 1.4679,                0.87711,                 1.4042,                0.04144,                0.10158,                0.02355,                0.00745,                  4.895,                 4.8679,                 7.1874,             0.00057703,             0.00057703,             0.00057703
                      8,                 1.3788,                0.80556,                 1.3077,                0.22153,                0.19461,                0.12766,                0.04167,                 3.9025,                  3.465,                 4.1505,             0.00064456,             0.00064456,             0.00064456
                      9,                 1.3086,                 0.7557,                  1.303,                0.12324,                0.24399,                0.08055,                0.02768,                 4.1772,                 4.4775,                   4.36,              0.0007105,              0.0007105,              0.0007105
                     10,                 1.2792,                0.70227,                 1.2755,                0.02238,                0.08354,                0.01213,                0.00457,                 4.1477,                    inf,                  4.305,             0.00077486,             0.00077486,             0.00077486
                     11,                 1.1417,                0.63999,                 1.2016,                0.88611,                0.73127,                0.81277,                0.52861,                 1.4087,                 1.2289,                 1.4546,             0.00083763,             0.00083763,             0.00083763
                     12,                 1.0738,                0.61369,                 1.1628,                0.92842,                 0.8481,                0.91205,                0.58751,                 1.2248,                 1.2688,                 1.3563,             0.00089882,             0.00089882,             0.00089882
                     13,                 1.0509,                0.58149,                 1.1542,                0.94742,                0.91812,                0.95943,                0.69619,                 1.0807,                 0.8966,                 1.2338,             0.00095843,             0.00095843,             0.00095843
                     14,                 1.0136,                0.55742,                 1.1126,                0.96411,                0.95158,                0.98215,                0.65894,                 1.2011,                0.85773,                 1.3803,              0.0010165,              0.0010165,              0.0010165
                     15,                 1.1652,                0.59859,                 1.2204,                 0.9787,                0.98855,                0.99432,                0.66936,                 1.2578,                0.81087,                  1.459,              0.0010729,              0.0010729,              0.0010729
                     16,                 1.0978,                0.57403,                 1.1738,                 0.9041,                0.92532,                0.97425,                0.51849,                 1.5162,                   1.13,                 1.5696,              0.0011277,              0.0011277,              0.0011277
                     17,                 1.0467,                0.55547,                 1.1327,                0.97038,                0.99684,                 0.9935,                 0.7727,                 1.0168,                0.70856,                 1.2043,               0.001181,               0.001181,               0.001181
                     18,                 1.0288,                0.56429,                 1.1439,                0.98804,                0.97532,                0.99413,                0.70897,                 1.0787,                0.77965,                 1.1949,              0.0012327,              0.0012327,              0.0012327
                     19,                  1.178,                 0.6078,                 1.1713,                0.85251,                0.94933,                0.95089,                0.42229,                 1.8982,                 1.6471,                 1.9966,              0.0012828,              0.0012828,              0.0012828
